cell,arm,codebook,unroll,seed,mse1,mse10,norm10,codes_used,elapsed_sec
cont_K0_U1_s0,cont,0,1,0,0.019901610910892487,0.7356961369514465,0.7355955839157104,,14.298574924468994
cont_K0_U1_s1,cont,0,1,1,0.020197821781039238,0.7594340443611145,0.7593302130699158,,9.901225090026855
cont_K0_U1_s2,cont,0,1,2,0.019363459199666977,0.7131509780883789,0.7130534648895264,,10.012383222579956
cont_K0_U5_s0,cont,0,5,0,0.02858174592256546,0.43549466133117676,0.43543511629104614,,18.25324773788452
cont_K0_U5_s1,cont,0,5,1,0.0289281215518713,0.437348335981369,0.4372885525226593,,18.02208709716797
cont_K0_U5_s2,cont,0,5,2,0.02833048440515995,0.4896298348903656,0.48956289887428284,,18.080328226089478
disc_K16_U1_s0,disc,16,1,0,0.046198200434446335,0.8255195021629333,0.8254066705703735,16,22.606120824813843
disc_K16_U1_s1,disc,16,1,1,0.04657553508877754,0.8697336912155151,0.8696147799491882,16,18.38274049758911
disc_K16_U1_s2,disc,16,1,2,0.04486782103776932,0.8652914762496948,0.8651731610298157,16,17.82460880279541
disc_K16_U5_s0,disc,16,5,0,0.17274226248264313,0.7798642516136169,0.7797576189041138,16,59.49121069908142
disc_K16_U5_s1,disc,16,5,1,0.08752347528934479,0.645335853099823,0.6452476382255554,16,58.038615226745605
disc_K16_U5_s2,disc,16,5,2,0.08423295617103577,0.6114417910575867,0.6113582253456116,16,59.437031745910645
disc_K32_U1_s0,disc,32,1,0,0.03923840448260307,0.7929360270500183,0.7928276062011719,29,24.60617232322693
disc_K32_U1_s1,disc,32,1,1,0.03846927359700203,0.7985374927520752,0.7984282970428467,29,23.938249111175537
disc_K32_U1_s2,disc,32,1,2,0.03916000947356224,0.8202909231185913,0.8201788067817688,27,24.250308990478516
disc_K32_U5_s0,disc,32,5,0,0.10363319516181946,0.6191272139549255,0.6190425753593445,20,92.41911816596985
disc_K32_U5_s1,disc,32,5,1,0.206104576587677,0.7921832799911499,0.792074978351593,20,89.22231483459473
disc_K32_U5_s2,disc,32,5,2,0.10423605889081955,0.6364282369613647,0.6363412141799927,27,90.5158007144928
