protocol,horizon,goal_offset,winner_k,winner_success_rate,runner_up_k,runner_up_success_rate,advantage_pp,ci_low_pp,ci_high_pp,descriptive_ci_excludes_zero
fixcand,1,25,3,62.0,1,60.0,2.0,-14.0,18.0,False
fixcand,1,40,5,22.0,1,22.0,0.0,-14.0,14.0,False
fixcand,1,60,3,18.0,1,10.0,8.0,2.0,16.0,True
fixcand,3,25,3,88.0,10,84.0,4.0,-8.0,16.0,False
fixcand,3,40,3,48.0,10,40.0,8.0,-6.0,22.0,False
fixcand,3,60,5,22.0,3,22.0,0.0,-12.0,12.0,False
fixcand,5,25,5,90.0,10,88.0,2.0,-8.0,12.0,False
fixcand,5,40,3,62.0,5,56.0,6.0,-6.0,18.0,False
fixcand,5,60,10,26.0,5,24.0,2.0,-6.0,12.0,False
fixcand,8,25,5,42.0,2,32.0,10.0,-8.0,28.0,False
fixcand,8,40,10,20.0,3,18.0,2.0,-10.0,16.0,False
fixcand,8,60,1,14.0,3,12.0,2.0,-6.0,10.0,False
fixcand,10,25,5,30.0,3,22.0,8.0,-8.0,24.0,False
fixcand,10,40,2,14.0,1,14.0,0.0,-14.0,14.0,False
fixcand,10,60,2,8.0,10,6.0,2.0,-6.0,10.0,False
fixcalls,1,25,3,60.0,5,52.0,8.0,-6.0,22.0,False
fixcalls,1,40,1,26.0,5,20.0,6.0,-8.0,20.0,False
fixcalls,1,60,3,18.0,2,12.0,6.0,-4.0,16.0,False
fixcalls,3,25,3,86.0,5,84.0,2.0,-6.0,12.0,False
fixcalls,3,40,3,60.0,1,44.0,16.0,4.0,28.0,True
fixcalls,3,60,10,22.0,3,22.0,0.0,-10.0,10.0,False
fixcalls,5,25,5,90.0,10,88.0,2.0,-8.0,12.0,False
fixcalls,5,40,3,62.0,5,58.0,4.0,-10.0,18.0,False
fixcalls,5,60,10,26.0,5,24.0,2.0,-6.0,10.0,False
fixcalls,8,25,5,42.0,10,36.0,6.0,-10.0,20.0,False
fixcalls,8,40,3,20.0,2,14.0,6.0,-6.0,18.0,False
fixcalls,8,60,1,12.0,2,10.0,2.0,-4.0,10.0,False
fixcalls,10,25,5,30.0,3,28.0,2.0,-12.0,18.0,False
fixcalls,10,40,10,12.0,3,10.0,2.0,-8.0,12.0,False
fixcalls,10,60,10,4.0,5,4.0,0.0,-8.0,8.0,False
