protocol,horizon,k_train,success_rate,n_success,n_trials
fixcand,1,1,30.666666666666668,46,150
fixcand,1,2,24.666666666666668,37,150
fixcand,1,3,31.333333333333332,47,150
fixcand,1,5,26.666666666666668,40,150
fixcand,1,10,20.666666666666668,31,150
fixcand,3,1,46.666666666666664,70,150
fixcand,3,2,47.333333333333336,71,150
fixcand,3,3,52.666666666666664,79,150
fixcand,3,5,46.666666666666664,70,150
fixcand,3,10,48.0,72,150
fixcand,5,1,48.666666666666664,73,150
fixcand,5,2,50.0,75,150
fixcand,5,3,57.333333333333336,86,150
fixcand,5,5,56.666666666666664,85,150
fixcand,5,10,55.333333333333336,83,150
fixcand,8,1,16.0,24,150
fixcand,8,2,17.333333333333332,26,150
fixcand,8,3,20.0,30,150
fixcand,8,5,16.666666666666668,25,150
fixcand,8,10,15.333333333333334,23,150
fixcand,10,1,12.0,18,150
fixcand,10,2,11.333333333333334,17,150
fixcand,10,3,11.333333333333334,17,150
fixcand,10,5,14.666666666666666,22,150
fixcand,10,10,10.666666666666666,16,150
fixcalls,1,1,28.0,42,150
fixcalls,1,2,24.0,36,150
fixcalls,1,3,32.0,48,150
fixcalls,1,5,26.666666666666668,40,150
fixcalls,1,10,20.0,30,150
fixcalls,3,1,48.0,72,150
fixcalls,3,2,47.333333333333336,71,150
fixcalls,3,3,56.0,84,150
fixcalls,3,5,48.0,72,150
fixcalls,3,10,47.333333333333336,71,150
fixcalls,5,1,48.666666666666664,73,150
fixcalls,5,2,50.0,75,150
fixcalls,5,3,57.333333333333336,86,150
fixcalls,5,5,57.333333333333336,86,150
fixcalls,5,10,55.333333333333336,83,150
fixcalls,8,1,16.666666666666668,25,150
fixcalls,8,2,19.333333333333332,29,150
fixcalls,8,3,20.0,30,150
fixcalls,8,5,18.0,27,150
fixcalls,8,10,16.666666666666668,25,150
fixcalls,10,1,9.333333333333334,14,150
fixcalls,10,2,8.666666666666666,13,150
fixcalls,10,3,13.333333333333334,20,150
fixcalls,10,5,12.666666666666666,19,150
fixcalls,10,10,10.666666666666666,16,150
