protocol,horizon,goal_offset,k_train,num_samples,success_rate,n_success,evaluation_time_seconds,source,success_bits
fixcand,1,25,1,300,60.0,30,50.621909618377686,gateA_iter2_baseline_h1_off25_fixcand.txt,10111111100111000101111111101111011001000100001010
fixcand,1,25,2,300,52.0,26,53.80053734779358,gateA_pd_d192_k2_h1_off25_fixcand.txt,10010011110100000010010011101111011111010101011000
fixcand,1,25,3,300,62.0,31,46.812978982925415,gateA_pd_d192_k3_h1_off25_fixcand.txt,10010111110110000011010111101111111011000101111001
fixcand,1,25,5,300,52.0,26,53.38920760154724,gateA_iter2_multistep_h1_off25_fixcand.txt,10010011010010000110101110101111111001000101101001
fixcand,1,25,10,300,40.0,20,60.429932832717896,gateA_pd_d192_k10_h1_off25_fixcand.txt,00000001100000010110010110110111110011000000111000
fixcand,1,40,1,300,22.0,11,77.1763505935669,gateA_iter2_baseline_h1_off40_fixcand.txt,00010000000110000010010001000000001010100001000100
fixcand,1,40,2,300,14.0,7,79.3072714805603,gateA_pd_d192_k2_h1_off40_fixcand.txt,00000001000000000010010001000000001010000000000100
fixcand,1,40,3,300,14.0,7,77.97299814224243,gateA_pd_d192_k3_h1_off40_fixcand.txt,00000010000010011000000001000000000001000000000100
fixcand,1,40,5,300,22.0,11,73.63985896110535,gateA_iter2_multistep_h1_off40_fixcand.txt,00000000000010010010000011001000000010000000111100
fixcand,1,40,10,300,16.0,8,77.80754446983337,gateA_pd_d192_k10_h1_off40_fixcand.txt,00000000000010000000011001000000100000000000011100
fixcand,1,60,1,300,10.0,5,81.85433721542358,gateA_iter2_baseline_h1_off60_fixcand.txt,01000001000000000000000000100000000000001000001000
fixcand,1,60,2,300,8.0,4,82.24099636077881,gateA_pd_d192_k2_h1_off60_fixcand.txt,00010000000000000000000000100000000010000000001000
fixcand,1,60,3,300,18.0,9,76.41407775878906,gateA_pd_d192_k3_h1_off60_fixcand.txt,01010001100000000000000000110000000000001000001001
fixcand,1,60,5,300,6.0,3,83.32876467704773,gateA_iter2_multistep_h1_off60_fixcand.txt,00000000000000000000000000100000000000001000001000
fixcand,1,60,10,300,6.0,3,83.1932623386383,gateA_pd_d192_k10_h1_off60_fixcand.txt,00000000000000000000000000100000000000001000001000
fixcand,3,25,1,300,80.0,40,44.821014404296875,gateA_iter2_baseline_h3_off25_fixcand.txt,01011111111111011011111101101110011111111101111101
