env,shift,variations,horizon,receding_horizon,action_block,verify_gap_env_steps,seed,success_rate,returncode,elapsed_sec
pusht,id,,1,1,5,5,42,62.0,0,94.275
pusht,id,,2,1,5,5,42,64.0,0,120.931
pusht,id,,2,2,5,10,42,68.0,0,96.354
pusht,id,,3,1,5,5,42,42.0,0,200.183
pusht,id,,3,2,5,10,42,57.99999999999999,0,127.606
pusht,id,,3,3,5,15,42,76.0,0,98.216
pusht,id,,5,1,5,5,42,24.0,0,350.961
pusht,id,,5,2,5,10,42,20.0,0,210.096
pusht,id,,5,3,5,15,42,38.0,0,173.376
pusht,id,,5,5,5,25,42,70.0,0,102.86
pusht,id,,8,1,5,5,42,18.0,0,529.853
pusht,id,,8,2,5,10,42,20.0,0,306.123
pusht,id,,8,3,5,15,42,18.0,0,243.561
pusht,id,,8,5,5,25,42,18.0,0,155.631
pusht,id,,8,8,5,40,42,56.00000000000001,0,132.578
pusht,id,,10,1,5,5,42,10.0,0,671.852
pusht,id,,10,2,5,10,42,6.0,0,375.766
pusht,id,,10,3,5,15,42,12.0,0,318.407
pusht,id,,10,5,5,25,42,8.0,0,192.315
pusht,id,,10,8,5,40,42,18.0,0,190.011
pusht,id,,10,10,5,50,42,40.0,0,119.475
pusht,visual,"background.color,agent.color,block.color,goal.color",1,1,5,5,42,0.0,0,133.557
pusht,visual,"background.color,agent.color,block.color,goal.color",2,1,5,5,42,6.0,0,192.351
pusht,visual,"background.color,agent.color,block.color,goal.color",2,2,5,10,42,6.0,0,126.216
pusht,visual,"background.color,agent.color,block.color,goal.color",3,1,5,5,42,0.0,0,260.454
pusht,visual,"background.color,agent.color,block.color,goal.color",3,2,5,10,42,0.0,0,149.647
pusht,visual,"background.color,agent.color,block.color,goal.color",3,3,5,15,42,0.0,0,139.092
pusht,visual,"background.color,agent.color,block.color,goal.color",5,1,5,5,42,2.0,0,381.667
pusht,visual,"background.color,agent.color,block.color,goal.color",5,2,5,10,42,2.0,0,220.934
pusht,visual,"background.color,agent.color,block.color,goal.color",5,3,5,15,42,0.0,0,192.78
pusht,visual,"background.color,agent.color,block.color,goal.color",5,5,5,25,42,4.0,0,121.365
pusht,visual,"background.color,agent.color,block.color,goal.color",8,1,5,5,42,2.0,0,571.362
pusht,visual,"background.color,agent.color,block.color,goal.color",8,2,5,10,42,2.0,0,315.67
pusht,visual,"background.color,agent.color,block.color,goal.color",8,3,5,15,42,0.0,0,270.756
pusht,visual,"background.color,agent.color,block.color,goal.color",8,5,5,25,42,4.0,0,157.359
pusht,visual,"background.color,agent.color,block.color,goal.color",8,8,5,40,42,0.0,0,164.02
pusht,visual,"background.color,agent.color,block.color,goal.color",10,1,5,5,42,0.0,0,706.8
pusht,visual,"background.color,agent.color,block.color,goal.color",10,2,5,10,42,0.0,0,392.797
pusht,visual,"background.color,agent.color,block.color,goal.color",10,3,5,15,42,2.0,0,321.551
pusht,visual,"background.color,agent.color,block.color,goal.color",10,5,5,25,42,0.0,0,194.981
pusht,visual,"background.color,agent.color,block.color,goal.color",10,8,5,40,42,4.0,0,188.889
pusht,visual,"background.color,agent.color,block.color,goal.color",10,10,5,50,42,2.0,0,119.03
pusht,geometry,"block.scale,agent.scale,block.shape,goal.scale",1,1,5,5,42,46.0,0,95.736
pusht,geometry,"block.scale,agent.scale,block.shape,goal.scale",2,1,5,5,42,32.0,0,165.066
pusht,geometry,"block.scale,agent.scale,block.shape,goal.scale",2,2,5,10,42,40.0,0,107.455
pusht,geometry,"block.scale,agent.scale,block.shape,goal.scale",3,1,5,5,42,24.0,0,228.628
pusht,geometry,"block.scale,agent.scale,block.shape,goal.scale",3,2,5,10,42,30.0,0,135.363
pusht,geometry,"block.scale,agent.scale,block.shape,goal.scale",3,3,5,15,42,40.0,0,117.342
pusht,geometry,"block.scale,agent.scale,block.shape,goal.scale",5,1,5,5,42,10.0,0,369.997
pusht,geometry,"block.scale,agent.scale,block.shape,goal.scale",5,2,5,10,42,18.0,0,212.329
pusht,geometry,"block.scale,agent.scale,block.shape,goal.scale",5,3,5,15,42,16.0,0,179.076
pusht,geometry,"block.scale,agent.scale,block.shape,goal.scale",5,5,5,25,42,26.0,0,119.467
pusht,geometry,"block.scale,agent.scale,block.shape,goal.scale",8,1,5,5,42,4.0,0,566.193
pusht,geometry,"block.scale,agent.scale,block.shape,goal.scale",8,2,5,10,42,6.0,0,315.537
pusht,geometry,"block.scale,agent.scale,block.shape,goal.scale",8,3,5,15,42,8.0,0,264.703
pusht,geometry,"block.scale,agent.scale,block.shape,goal.scale",8,5,5,25,42,10.0,0,167.048
pusht,geometry,"block.scale,agent.scale,block.shape,goal.scale",8,8,5,40,42,22.0,0,160.98
pusht,geometry,"block.scale,agent.scale,block.shape,goal.scale",10,1,5,5,42,4.0,0,698.531
pusht,geometry,"block.scale,agent.scale,block.shape,goal.scale",10,2,5,10,42,6.0,0,379.7
pusht,geometry,"block.scale,agent.scale,block.shape,goal.scale",10,3,5,15,42,6.0,0,317.849
pusht,geometry,"block.scale,agent.scale,block.shape,goal.scale",10,5,5,25,42,4.0,0,177.845
pusht,geometry,"block.scale,agent.scale,block.shape,goal.scale",10,8,5,40,42,10.0,0,181.599
pusht,geometry,"block.scale,agent.scale,block.shape,goal.scale",10,10,5,50,42,22.0,0,126.084
