env,shift,horizon,receding_horizon,verify_gap_env_steps,id_success_rate,shift_success_rate,delta_vs_id,ratio_vs_id
pusht,visual,1,1,5,62.0,0.0,-62.0,0.0
pusht,visual,2,1,5,64.0,6.0,-58.0,0.09375
pusht,visual,2,2,10,68.0,6.0,-62.0,0.088235
pusht,visual,3,1,5,42.0,0.0,-42.0,0.0
pusht,visual,3,2,10,58.0,0.0,-58.0,0.0
pusht,visual,3,3,15,76.0,0.0,-76.0,0.0
pusht,visual,5,1,5,24.0,2.0,-22.0,0.083333
pusht,visual,5,2,10,20.0,2.0,-18.0,0.1
pusht,visual,5,3,15,38.0,0.0,-38.0,0.0
pusht,visual,5,5,25,70.0,4.0,-66.0,0.057143
pusht,visual,8,1,5,18.0,2.0,-16.0,0.111111
pusht,visual,8,2,10,20.0,2.0,-18.0,0.1
pusht,visual,8,3,15,18.0,0.0,-18.0,0.0
pusht,visual,8,5,25,18.0,4.0,-14.0,0.222222
pusht,visual,8,8,40,56.0,0.0,-56.0,0.0
pusht,visual,10,1,5,10.0,0.0,-10.0,0.0
pusht,visual,10,2,10,6.0,0.0,-6.0,0.0
pusht,visual,10,3,15,12.0,2.0,-10.0,0.166667
pusht,visual,10,5,25,8.0,0.0,-8.0,0.0
pusht,visual,10,8,40,18.0,4.0,-14.0,0.222222
pusht,visual,10,10,50,40.0,2.0,-38.0,0.05
pusht,geometry,1,1,5,62.0,46.0,-16.0,0.741935
pusht,geometry,2,1,5,64.0,32.0,-32.0,0.5
pusht,geometry,2,2,10,68.0,40.0,-28.0,0.588235
pusht,geometry,3,1,5,42.0,24.0,-18.0,0.571429
pusht,geometry,3,2,10,58.0,30.0,-28.0,0.517241
pusht,geometry,3,3,15,76.0,40.0,-36.0,0.526316
pusht,geometry,5,1,5,24.0,10.0,-14.0,0.416667
pusht,geometry,5,2,10,20.0,18.0,-2.0,0.9
pusht,geometry,5,3,15,38.0,16.0,-22.0,0.421053
pusht,geometry,5,5,25,70.0,26.0,-44.0,0.371429
pusht,geometry,8,1,5,18.0,4.0,-14.0,0.222222
pusht,geometry,8,2,10,20.0,6.0,-14.0,0.3
pusht,geometry,8,3,15,18.0,8.0,-10.0,0.444444
pusht,geometry,8,5,25,18.0,10.0,-8.0,0.555556
pusht,geometry,8,8,40,56.0,22.0,-34.0,0.392857
pusht,geometry,10,1,5,10.0,4.0,-6.0,0.4
pusht,geometry,10,2,10,6.0,6.0,0.0,1.0
pusht,geometry,10,3,15,12.0,6.0,-6.0,0.5
pusht,geometry,10,5,25,8.0,4.0,-4.0,0.5
pusht,geometry,10,8,40,18.0,10.0,-8.0,0.555556
pusht,geometry,10,10,50,40.0,22.0,-18.0,0.55
