episode_id,dataset_index,dataset_episode,dataset_start,goal_offset,horizon,receding_horizon,warm_start,success,time_to_success,steps_executed,initial_distance,final_distance,best_distance,final_pos_l2,best_pos_l2,final_angle_abs,best_angle_abs,distance_auc,mean_step_distance,episode_return,mean_action_l2,mean_action_delta_l2
0,149296,1227,81,5,1,1,true,1,2.0,2,30.57157,34.307125,25.498472,13.529201,13.529201,0.07387352,0.07387352,59.80559730529785,29.902798652648926,-59.805599212646484,0.12784669920802116,0.09323816001415253
1,158910,1309,101,5,1,1,true,1,3.0,3,250.13242,26.506195,26.506195,12.228584,12.228584,0.0,0.0,554.1999969482422,184.73333231608072,-554.2000331878662,0.5684138139088949,0.4389570653438568
2,200969,1634,38,5,1,1,true,1,1.0,1,25.844416,55.756092,25.844416,16.075897,16.075897,0.11777115,0.11777115,55.7560920715332,55.7560920715332,-55.75609588623047,0.12845668196678162,0.0
3,208663,1690,60,5,1,1,true,1,2.0,2,127.956665,69.234695,69.234695,16.650587,16.650587,0.05672455,0.05672455,186.609375,93.3046875,-186.609375,0.254967525601387,0.1371028870344162
4,215442,1751,80,5,1,1,true,1,3.0,3,104.777855,70.95899,27.160406,16.064852,16.064852,0.0,0.0,185.7828426361084,61.92761421203613,-185.7828426361084,0.23072479665279388,0.18366064131259918
5,220290,1805,68,5,1,1,true,1,5.0,5,431.3548,73.44342,73.44342,4.813198,4.813198,0.0,0.0,871.1643524169922,174.23287048339844,-871.1643753051758,0.6483897566795349,0.3428756631910801
6,300239,2569,48,5,1,1,true,1,5.0,5,294.57025,162.61174,95.20993,3.0671341,3.0671341,0.021589994,0.021589994,820.2878265380859,164.05756530761718,-820.2878189086914,0.38816512525081637,0.398327074944973
7,386508,3170,99,5,1,1,true,1,1.0,1,30.66988,36.16971,30.66988,13.761305,13.761305,0.016342163,0.016342163,36.169708251953125,36.169708251953125,-36.169708251953125,0.07072889059782028,0.0
8,426985,3495,37,5,1,1,true,1,3.0,3,50.11252,114.0455,40.38991,14.867308,14.867308,0.05855441,0.05855441,201.16154098510742,67.05384699503581,-201.1615333557129,0.24620595574378967,0.17430011555552483
9,471085,3827,114,5,1,1,true,1,3.0,3,144.55028,69.375275,69.375275,15.368721,15.368721,0.0,0.0,255.29576873779297,85.09858957926433,-255.29576110839844,0.26536184549331665,0.13626980036497116
10,531188,4285,38,5,1,1,true,1,3.0,3,35.90863,39.53691,35.90863,17.739738,17.739738,0.07969999,0.07969999,231.3409423828125,77.1136474609375,-231.34094619750977,0.29692841072877246,0.19154521077871323
11,646495,5128,177,5,1,1,true,1,3.0,3,78.75902,125.409164,58.644733,13.725237,13.725237,0.067506075,0.067506075,269.0344352722168,89.67814509073894,-269.0344467163086,0.2723456720511119,0.3062605746090412
12,828539,6646,15,5,1,1,true,1,4.0,4,85.67212,76.92354,57.15194,13.417894,13.417894,0.019326687,0.019326687,273.3066101074219,68.32665252685547,-273.3066215515137,0.19218548387289047,0.16352048888802528
13,866664,6972,72,5,1,1,true,1,1.0,1,75.93289,59.3565,59.3565,15.787367,15.787367,0.019915342,0.019915342,59.35649871826172,59.35649871826172,-59.35649490356445,0.20964327454566956,0.0
14,940561,7566,19,5,1,1,true,1,5.0,5,313.58438,534.3703,164.76445,11.524761,11.524761,0.27331376,0.1186142,1755.5809173583984,351.1161834716797,-1755.5809478759766,0.7187352180480957,0.9077921658754349
15,1012448,8216,111,5,1,1,true,1,3.0,3,20.907705,20.32149,20.32149,19.273129,18.01828,0.023448944,0.023448944,147.39955711364746,49.133185704549156,-147.39953994750977,0.12199709564447403,0.14998216181993484
16,1026015,8299,147,5,1,1,true,1,5.0,5,228.7373,164.97824,86.56562,4.401844,4.401844,0.0,0.0,721.0557403564453,144.21114807128907,-721.0557327270508,0.545419716835022,0.41156261414289474
17,1036517,8362,128,5,1,1,true,1,4.0,4,96.538155,125.04084,37.409714,17.944641,17.944641,0.10039735,0.10039735,428.74039459228516,107.18509864807129,-428.74040603637695,0.4076671153306961,0.29815687239170074
18,1041794,8396,91,5,1,1,true,1,1.0,1,10.34635,63.870373,10.34635,6.4475865,4.630897,0.0006902218,0.0006902218,63.8703727722168,63.8703727722168,-63.8703727722168,0.17565922439098358,0.0
19,1052717,8475,33,5,1,1,true,1,5.0,5,116.58341,185.95804,33.32346,8.201519,8.201519,0.001581192,0.001581192,546.0954780578613,109.21909561157227,-546.0954780578613,0.32062542885541917,0.42183952033519745
20,1052892,8476,69,5,1,1,true,1,5.0,5,134.76003,145.2458,97.6934,3.657334,3.657334,0.00022602081,0.00022602081,788.8163757324219,157.76327514648438,-788.8163528442383,0.43766855001449584,0.4329855591058731
21,1170200,9554,35,5,1,1,true,1,4.0,4,44.04019,134.8163,44.04019,14.495586,14.495586,0.016259909,0.016259909,382.75091552734375,95.68772888183594,-382.7509422302246,0.266030365601182,0.24198402961095175
22,1200404,9819,53,5,1,1,true,1,4.0,4,373.16284,124.65609,75.95984,15.215327,15.215327,0.0,0.0,763.7316055297852,190.9329013824463,-763.7316055297852,0.6219141334295273,0.3647832026084264
23,1231395,10072,54,5,1,1,true,1,4.0,4,193.52998,70.59319,70.59319,13.740015,13.740015,0.0005733967,0.0005733967,523.8430633544922,130.96076583862305,-523.8430633544922,0.39451397582888603,0.2386394441127777
24,1275305,10350,131,5,1,1,true,1,4.0,4,159.3793,50.172062,50.172062,14.498416,14.498416,0.0,0.0,442.1222114562988,110.5305528640747,-442.1222114562988,0.25448792055249214,0.15264718731244406
25,1296472,10475,92,5,1,1,true,1,2.0,2,29.6667,20.505653,20.505653,14.784087,14.784087,0.106417894,0.106417894,76.29583740234375,38.147918701171875,-76.29584312438965,0.18274912238121033,0.15534301102161407
26,1475908,11779,99,5,1,1,true,1,1.0,1,45.889442,22.495966,22.495966,11.542721,11.542721,0.011815548,0.011815548,22.4959659576416,22.4959659576416,-22.495969772338867,0.09752078354358673,0.0
27,1504599,12045,64,5,1,1,true,1,4.0,4,83.345474,96.35485,24.170738,9.474453,9.474453,0.0,0.0,236.42914962768555,59.10728740692139,-236.42916679382324,0.303047101944685,0.14303386956453323
28,1529486,12222,86,5,1,1,true,1,2.0,2,110.35507,77.040924,77.040924,16.375698,16.375698,0.0,0.0,209.3643798828125,104.68218994140625,-209.36439514160156,0.25065361708402634,0.21151921153068542
29,1583777,12599,74,5,1,1,true,1,3.0,3,67.22678,42.39196,21.711348,17.428877,17.428877,0.0,0.0,123.74343681335449,41.247812271118164,-123.74343681335449,0.12389172986149788,0.12265213578939438
30,1629254,12974,22,5,1,1,true,1,3.0,3,118.27771,55.97441,55.97441,13.314067,13.314067,0.0,0.0,238.34689331054688,79.44896443684895,-238.34689331054688,0.20430141687393188,0.2728883922100067
31,1636680,13039,88,5,1,1,true,1,4.0,4,111.589485,35.262413,35.262413,12.17083,12.17083,0.0,0.0,245.7708511352539,61.44271278381348,-245.77084350585938,0.3163391798734665,0.1694373165567716
32,1676084,13317,62,5,1,1,true,1,4.0,4,273.63663,163.01353,79.33381,12.624179,12.624179,0.0625391,0.0625391,603.0197677612305,150.75494194030762,-603.0197677612305,0.3251355029642582,0.246086984872818
33,1718564,13614,103,5,1,1,true,1,1.0,1,63.64535,53.34381,53.34381,14.708385,14.708385,0.01123786,0.01123786,53.34381103515625,53.34381103515625,-53.343814849853516,0.06320001184940338,0.0
34,1770905,14057,79,5,1,1,true,1,4.0,4,195.00519,50.245667,50.245667,19.8242,19.8242,0.0,0.0,444.85414123535156,111.21353530883789,-444.85413360595703,0.36228780820965767,0.41446635623772937
35,1778110,14133,64,5,1,1,true,1,4.0,4,85.289474,260.84576,59.11503,15.21563,15.21563,0.0,0.0,632.7880554199219,158.19701385498047,-632.7880554199219,0.2987031415104866,0.31364045043786365
36,1807961,14355,97,5,1,1,true,1,1.0,1,43.444168,18.387747,18.387747,11.424893,11.424893,0.01246047,0.01246047,18.387746810913086,18.387746810913086,-18.38775062561035,0.14369523525238037,0.0
37,1818401,14449,93,5,1,1,true,1,5.0,5,332.89713,62.583164,62.583164,14.565202,14.565202,0.0,0.0,1088.2222633361816,217.64445266723632,-1088.222267150879,0.6372878909111023,0.47239990159869194
38,1825719,14488,157,5,1,1,true,1,1.0,1,93.50552,112.28784,93.50552,10.160796,8.693949,0.042045355,0.042045355,112.287841796875,112.287841796875,-112.287841796875,0.1551838368177414,0.0
39,1836079,14544,101,5,1,1,true,1,4.0,4,176.06671,79.36945,78.162125,15.384842,15.384842,0.0,0.0,389.3288345336914,97.33220863342285,-389.32884979248047,0.3541402891278267,0.22485131522019705
40,1922182,15298,37,5,1,1,true,1,1.0,1,135.26477,49.175194,49.175194,18.58496,18.58496,0.016696692,0.016696692,49.175193786621094,49.175193786621094,-49.17519760131836,0.19914793968200684,0.0
41,1933844,15444,21,5,1,1,true,1,4.0,4,154.25911,59.293358,59.293358,14.622839,14.622839,0.024925947,0.024925947,654.4112777709961,163.60281944274902,-654.4112892150879,0.46405454725027084,0.28340712934732437
42,1962290,15700,28,5,1,1,true,1,1.0,1,74.392555,93.74099,74.392555,11.091464,11.091464,0.0,0.0,93.7409896850586,93.7409896850586,-93.7409896850586,0.25686925649642944,0.0
43,2005493,16018,63,5,1,1,true,1,4.0,4,199.35773,44.6315,39.73905,19.45213,19.45213,2.9325485e-05,2.9325485e-05,424.45687103271484,106.11421775817871,-424.4568748474121,0.29861511569470167,0.2156872202952703
44,2006174,16022,32,5,1,1,true,0,nan,50,51.817413,109.87001,39.379875,27.318987,24.965876,0.095606804,0.095606804,5005.568519592285,100.1113703918457,-5005.568473815918,0.17622360818088054,0.23577025654364606
45,2073994,16439,60,5,1,1,true,1,3.0,3,58.43282,64.480804,34.364063,18.843636,18.843636,0.0,0.0,211.72502517700195,70.57500839233398,-211.72502517700195,0.2660926928122838,0.19941574335098267
46,2086371,16565,95,5,1,1,true,1,5.0,5,183.88753,181.66359,115.144485,13.679675,13.679675,0.0027496815,0.0027496815,825.8018951416016,165.1603790283203,-825.8019409179688,0.3090838849544525,0.32617827504873276
47,2165357,17272,16,5,1,1,true,1,4.0,4,112.557205,46.404068,46.404068,15.310506,15.310506,0.0,0.0,278.07698822021484,69.51924705505371,-278.0770149230957,0.43511291593313217,0.22102085004250208
48,2267418,17969,81,5,1,1,true,1,1.0,1,96.80587,160.86032,96.80587,10.154648,10.154648,0.0,0.0,160.86032104492188,160.86032104492188,-160.86032104492188,0.2777651250362396,0.0
49,2279057,18094,82,5,1,1,true,1,2.0,2,121.932076,82.95312,82.822296,19.36474,19.36474,0.0,0.0,165.7754135131836,82.8877067565918,-165.7754135131836,0.2377176731824875,0.03162652254104614
0,149296,1227,81,5,2,2,true,1,1.0,1,30.57157,41.02358,30.57157,19.771866,19.771866,0.09540677,0.09540677,41.02357864379883,41.02357864379883,-41.02357864379883,0.16771748661994934,0.0
1,158910,1309,101,5,2,2,true,1,9.0,9,250.13242,70.53542,30.416466,12.9851675,12.9851675,0.0,0.0,739.9377098083496,82.21530108981662,-739.9377193450928,0.23147872669829261,0.20756737468764186
2,200969,1634,38,5,2,2,true,1,1.0,1,25.844416,82.05282,25.844416,12.569671,12.569671,0.10339689,0.10339689,82.05281829833984,82.05281829833984,-82.05281829833984,0.24792888760566711,0.0
3,208663,1690,60,5,2,2,true,1,8.0,8,127.956665,24.897867,24.897867,13.211451,13.211451,0.05672455,0.05672455,603.4430999755859,75.43038749694824,-603.4431056976318,0.16957463882863522,0.12647693630840098
4,215442,1751,80,5,2,2,true,1,8.0,8,104.777855,75.40771,48.635563,14.655994,14.655994,0.0,0.0,649.5980529785156,81.19975662231445,-649.5980491638184,0.1553830241318792,0.2073501114334379
5,220290,1805,68,5,2,2,true,1,9.0,9,431.3548,67.71862,67.71862,11.965557,11.965557,0.0,0.0,1735.457649230957,192.82862769232855,-1735.457618713379,0.4226241906483968,0.3395069036632776
6,300239,2569,48,5,2,2,true,1,10.0,10,294.57025,92.88807,92.88807,3.3092573,3.3092573,0.022022724,0.022022724,2119.731475830078,211.9731475830078,-2119.7314453125,0.2865432746708393,0.28286739107635284
7,386508,3170,99,5,2,2,true,1,1.0,1,30.66988,87.51432,30.66988,16.771067,14.487615,0.016342163,0.016342163,87.51432037353516,87.51432037353516,-87.51432037353516,0.20706912875175476,0.0
8,426985,3495,37,5,2,2,true,1,3.0,3,50.11252,57.98529,50.11252,19.247599,19.247599,0.12727094,0.12727094,213.80685424804688,71.26895141601562,-213.80686950683594,0.19524539758761725,0.2883327007293701
9,471085,3827,114,5,2,2,true,1,7.0,7,144.55028,93.21233,85.16231,18.265732,18.265732,0.0,0.0,1091.8347091674805,155.97638702392578,-1091.8346862792969,0.29967235028743744,0.25256529822945595
10,531188,4285,38,5,2,2,true,1,7.0,7,35.90863,113.82569,35.90863,17.491123,17.491123,0.03448248,0.03448248,673.0447273254395,96.14924676077706,-673.0447196960449,0.23757702271853173,0.21463115016619363
11,646495,5128,177,5,2,2,true,1,4.0,4,78.75902,61.875515,56.05653,17.809017,17.809017,0.067506075,0.067506075,256.06675720214844,64.01668930053711,-256.06675720214844,0.18951505236327648,0.18039880941311517
12,828539,6646,15,5,2,2,true,1,8.0,8,85.67212,16.958027,16.958027,16.516775,16.516775,0.042339325,0.042339325,649.3296852111816,81.1662106513977,-649.329683303833,0.15946250595152378,0.22383435602699006
13,866664,6972,72,5,2,2,true,1,7.0,7,75.93289,156.88588,39.647385,18.564486,18.564486,0.019915342,0.019915342,666.7747993469238,95.25354276384626,-666.7747993469238,0.2380434913294656,0.18224427166084448
14,940561,7566,19,5,2,2,true,1,9.0,9,313.58438,200.65938,96.07778,17.23686,17.23686,0.05032301,0.05032301,2488.3266372680664,276.4807374742296,-2488.3266677856445,0.47880636321173775,0.500695985276252
15,1012448,8216,111,5,2,2,true,1,8.0,8,20.907705,54.602966,20.907705,17.611721,17.611721,0.023448944,0.023448944,608.8099060058594,76.10123825073242,-608.8099021911621,0.17813196312636137,0.21484300760286196
16,1026015,8299,147,5,2,2,true,1,9.0,9,228.7373,142.20436,57.690113,19.694454,19.694454,0.0,0.0,1271.531337738037,141.28125974867078,-1271.5313568115234,0.2899629920721054,0.23034258116967976
17,1036517,8362,128,5,2,2,true,1,10.0,10,96.538155,163.0014,43.214077,14.653478,14.653478,0.012814045,0.012814045,939.4185905456543,93.94185905456543,-939.4186096191406,0.2648984998464584,0.1702955886721611
18,1041794,8396,91,5,2,2,true,1,1.0,1,10.34635,72.05408,10.34635,6.373757,4.630897,0.0006902218,0.0006902218,72.0540771484375,72.0540771484375,-72.0540771484375,0.20301301777362823,0.0
