shift,goal_offset,horizon,receding_horizon,action_block,plan_horizon_env_steps,verify_gap_env_steps,warm_start,num_eval,success_rate,mean_final_distance,median_final_distance,p25_final_distance,p75_final_distance,mean_best_distance,median_best_distance,p25_best_distance,p75_best_distance,mean_time_to_success,median_time_to_success,mean_episode_return,mean_distance_auc,mean_step_distance,mean_action_l2,mean_action_delta_l2,mean_steps_executed,elapsed_sec
id,5,1,1,5,5,5,true,50,98.0,93.53668212890625,69.98423767089844,49.42441177368164,122.0034408569336,55.49886703491211,51.79473876953125,33.58361053466797,74.1552734375,3.081632614135742,3.0,-459.75099750518797,459.7509938049316,102.8960802889506,0.29807804208522043,0.20891710763125598,4.02,12.578694820404053
id,5,2,2,5,10,10,true,50,100.0,93.89278411865234,90.18106079101562,57.97802734375,123.04788208007812,54.54551696777344,48.30107879638672,30.596147537231445,68.4272689819336,6.340000152587891,8.0,-789.2427732467652,789.2427738189697,109.99396514103904,0.24330898814638044,0.20121496345364445,6.34,14.667524337768555
id,5,3,3,5,15,15,true,50,98.0,104.15869140625,94.68861389160156,58.91851043701172,143.42626953125,56.438819885253906,44.77460479736328,30.749582290649414,74.36119079589844,9.612244606018066,12.0,-1435.1525868606568,1435.1525928878784,119.98712926090391,0.23742763737646758,0.22536310342707289,10.42,24.015891075134277
id,5,5,5,5,25,25,true,50,96.0,120.6000747680664,108.64547729492188,73.921142578125,157.83364868164062,54.92694854736328,45.517478942871094,34.252098083496094,67.26859283447266,19.9375,23.0,-3161.1354438781736,3161.13544342041,131.83714195290378,0.23346263706201223,0.22477532419509189,21.14,40.99834990501404
id,5,8,8,5,40,40,true,50,68.0,121.16583251953125,110.17035675048828,74.81068420410156,144.26797485351562,60.36851119995117,51.122467041015625,36.482032775878906,81.8970718383789,22.823530197143555,34.5,-4923.1932769393925,4923.193286628723,141.8652116398899,0.23379501816869588,0.22439739199399455,31.52,72.60777306556702
id,5,10,10,5,50,50,true,50,52.0,120.78486633300781,108.68048095703125,67.09508514404297,167.26971435546875,59.803836822509766,47.32001495361328,35.02180862426758,74.11726379394531,22.423076629638672,16.0,-5560.629624557495,5560.629631500244,144.28250320207394,0.23546595998066078,0.24384017506611122,35.66,66.80976009368896
id,10,1,1,5,5,5,true,50,96.0,171.52586364746094,152.96871948242188,85.68457794189453,228.45709228515625,98.00897216796875,84.11907958984375,57.66667175292969,129.05685424804688,4.395833492279053,4.0,-1288.5938507461549,1288.5938526535035,183.08450800859362,0.5166510105753939,0.36963843162346827,6.22,15.314549922943115
id,10,2,2,5,10,10,true,50,94.0,118.0160903930664,92.7216567993164,49.10929489135742,173.5856170654297,67.31817626953125,50.201942443847656,38.86594772338867,85.52308654785156,8.06382942199707,7.0,-1695.9070893859864,1695.9070829200746,143.12203565298358,0.3461499011811436,0.28244382429766746,10.58,22.599706649780273
id,10,3,3,5,15,15,true,50,90.0,137.35842895507812,97.10520935058594,62.718101501464844,189.2425537109375,62.97469711303711,45.407772064208984,34.71678924560547,74.06897735595703,12.622221946716309,13.0,-2534.367056427002,2534.367057418823,140.47802579570353,0.2796089397170377,0.2697890543724604,16.36,32.881513595581055
id,10,5,5,5,25,25,true,50,88.0,126.4681167602539,90.4577407836914,54.38249969482422,186.13375854492188,57.7620849609375,46.56818389892578,37.3006477355957,64.66449737548828,19.93181800842285,22.0,-3579.113190498352,3579.1131968307495,145.18040788788912,0.24998274632091078,0.2778756927147371,23.54,43.01935529708862
id,10,8,8,5,40,40,true,50,80.0,138.00820922851562,113.3807373046875,75.23042297363281,172.36874389648438,61.051109313964844,51.848514556884766,40.03990936279297,69.88984680175781,30.274999618530273,37.0,-5396.595636520386,5396.595631008148,153.6064142487847,0.23897051364036925,0.28438928417140585,34.22,69.53353190422058
id,10,10,10,5,50,50,true,50,70.0,121.59867858886719,109.13749694824219,64.25653076171875,159.93605041503906,62.01457595825195,47.975852966308594,38.3862190246582,73.92195892333984,31.542856216430664,39.0,-6217.941681480408,6217.941675796509,157.62265892178567,0.23286863029031019,0.26609362064340436,37.08,66.81991600990295
id,15,1,1,5,5,5,true,50,86.0,222.3932647705078,194.80453491210938,120.65719604492188,255.37811279296875,109.32666015625,98.77168273925781,59.91154479980469,152.43504333496094,6.0,5.0,-3411.0789833068848,3411.078976478577,242.27679961606034,0.6181751913879002,0.49461897224261975,12.16,23.933666944503784
id,15,2,2,5,10,10,true,50,90.0,173.19061279296875,133.24168395996094,88.34852600097656,231.72259521484375,75.04328918457031,69.99030303955078,43.559654235839844,86.1634750366211,10.066666603088379,9.0,-3004.220404701233,3004.2204088974,179.30025809774307,0.41894501071693907,0.3323818159650817,14.06,25.958568811416626
id,15,3,3,5,15,15,true,50,90.0,156.2091827392578,127.0798568725586,57.00788497924805,207.57643127441406,66.85173034667969,54.9764404296875,42.98121643066406,76.02992248535156,15.822221755981445,14.0,-3458.5714288711547,3458.5714218139647,161.3435577559379,0.3197423952098678,0.2830054359506856,19.24,34.781723737716675
id,15,5,5,5,25,25,true,50,84.0,122.4697265625,93.75889587402344,57.497711181640625,158.26443481445312,66.17805480957031,56.80297088623047,38.38825225830078,78.59822845458984,23.952381134033203,24.0,-4527.697741394043,4527.697737388611,157.56738331325909,0.26706577360517697,0.2846432199816491,28.12,47.00160050392151
id,15,8,8,5,40,40,true,50,70.0,146.4460906982422,103.50811767578125,77.955078125,212.58871459960938,61.02745056152344,50.044918060302734,41.254783630371094,65.26155090332031,35.71428680419922,38.0,-6447.361379280091,6447.361359176636,158.89046743994442,0.22973027506749427,0.2679242148677835,40.0,71.84780859947205
id,15,10,10,5,50,50,true,50,44.0,130.9921417236328,117.79666900634766,74.68473052978516,162.08204650878906,67.94617462158203,64.00857543945312,45.06602478027344,83.18748474121094,40.3636360168457,47.0,-7478.521906738281,7478.521907539368,162.9453911781468,0.2283483844057061,0.273638746303505,45.76,67.53608274459839
id,25,1,1,5,5,5,true,50,62.0,225.54037475585938,160.46682739257812,105.22845458984375,335.3328552246094,95.32764434814453,92.41148376464844,58.3305549621582,115.97569274902344,8.258064270019531,7.0,-6207.970503005981,6207.97047832489,265.8407386731497,0.6398496227967726,0.6414672116493318,24.12,40.39930868148804
id,25,2,2,5,10,10,true,50,76.0,194.4652099609375,173.13836669921875,107.89811706542969,253.58975219726562,87.79236602783203,82.34260559082031,57.813682556152344,115.44832611083984,13.1578950881958,9.0,-5018.08201347351,5018.082018375397,220.83312773879217,0.5027264192971086,0.45046831925221975,22.0,34.96448564529419
id,25,3,3,5,15,15,true,50,80.0,165.31976318359375,127.16007995605469,82.69071960449219,221.77618408203125,77.0715103149414,73.1865463256836,50.981834411621094,91.9902572631836,15.824999809265137,14.0,-4159.124678153992,4159.1246688842775,184.27218027492566,0.3772813831429881,0.3147061344978414,22.66,38.7941255569458
id,25,5,5,5,25,25,true,50,76.0,159.98086547851562,121.89307403564453,81.35021209716797,183.6784210205078,68.21418762207031,58.196441650390625,46.547264099121094,93.15617370605469,26.63157844543457,24.0,-5390.967142868042,5390.96714717865,167.49866191583334,0.29055415475591934,0.3068267148409489,32.24,48.74171996116638
id,25,8,8,5,40,40,true,50,56.00000000000001,146.83822631835938,136.34146118164062,96.64453125,182.42091369628906,68.22782897949219,66.35292053222656,45.35361862182617,82.35882568359375,37.28571319580078,40.0,-7014.643638992309,7014.643622055054,163.5324382707844,0.2394079294289877,0.2695066260167635,42.88,80.71481108665466
