episode_id,dataset_index,dataset_episode,dataset_start,goal_offset,horizon,receding_horizon,warm_start,success,time_to_success,steps_executed,initial_distance,final_distance,best_distance,final_pos_l2,best_pos_l2,final_angle_abs,best_angle_abs,distance_auc,mean_step_distance,episode_return,mean_action_l2,mean_action_delta_l2
0,150187,1235,36,25,5,1,true,0,nan,50,229.72131,275.84015,56.025978,117.408394,25.8125,0.021731615,0.021731615,9422.259376525879,188.4451875305176,-9422.259418487549,0.375473524145782,0.43487164454192534
1,159883,1316,129,25,5,1,true,0,nan,50,98.6348,273.5061,98.6348,77.968185,63.125713,0.0196774,0.0111198425,10295.750396728516,205.91500793457033,-10295.750518798828,0.4050210228562355,0.477765437747751
2,201656,1639,40,25,5,1,true,0,nan,50,203.44919,153.02155,63.628628,79.8196,56.83828,0.3707111,0.3707111,9512.872951507568,190.25745903015138,-9512.872817993164,0.3518552188575268,0.4967755316471567
3,209210,1694,59,25,5,1,true,0,nan,50,225.51054,70.25861,70.25861,40.842075,27.524702,0.03709483,0.03709483,12816.219841003418,256.3243968200684,-12816.219818115234,0.5422897608578205,0.6744391793499187
4,216281,1761,19,25,5,1,true,0,nan,50,224.51173,150.54074,111.81196,133.79932,99.10165,0.36745477,0.36745477,9763.242904663086,195.26485809326172,-9763.24301147461,0.2848414857685566,0.3312336264976433
5,221571,1820,13,25,5,1,true,0,nan,50,311.6959,182.30515,75.542145,96.910324,44.951187,0.41781902,0.41781902,10166.941848754883,203.33883697509765,-10166.941780090332,0.3568583033233881,0.44231016264886275
6,305393,2635,114,25,5,1,true,0,nan,50,115.23367,296.56543,53.25637,52.978783,35.78947,0.0052890778,0.0020830631,9267.959754943848,185.35919509887697,-9267.959796905518,0.3974423673376441,0.5581411705637465
7,388512,3184,115,25,5,1,true,0,nan,50,156.09914,145.52692,109.45182,122.10435,91.102036,0.009015799,0.009015799,9142.513320922852,182.85026641845704,-9142.513343811035,0.3332598125934601,0.45883273318105816
8,429216,3517,2,25,5,1,true,0,nan,50,217.99022,350.199,52.776917,57.18291,37.67682,0.15305519,0.15305519,10966.43773651123,219.3287547302246,-10966.437828063965,0.397294986769557,0.47016623342523767
9,472611,3838,133,25,5,1,true,1,25.0,25,112.600464,203.807,90.724945,19.87001,19.87001,0.10073781,0.0058176517,5485.883926391602,219.43535705566407,-5485.88387298584,0.46134146362543105,0.47667350992560387
10,532318,4299,20,25,5,1,true,0,nan,50,214.71747,341.3443,114.64303,58.00718,44.545776,2.1484482,1.90043,16376.742057800293,327.5348411560059,-16376.742401123047,0.7204913741350174,0.7866798900828069
11,645504,5123,126,25,5,1,true,0,nan,50,110.95881,99.85059,99.85059,94.06175,45.232952,0.14773536,0.0058271885,10223.242752075195,204.4648550415039,-10223.24275970459,0.4032351066172123,0.4506155564164629
12,829098,6651,49,25,5,1,true,1,11.0,11,141.55779,269.62576,105.91271,15.935671,15.935671,0.038401842,0.001957655,1849.8790893554688,168.17082630504262,-1849.8791809082031,0.4234621091322465,0.3790389358997345
13,867812,6983,65,25,5,1,true,1,20.0,20,164.75528,192.23521,100.77629,18.448729,18.448729,0.085653305,0.085653305,3803.8959197998047,190.19479598999024,-3803.8959426879883,0.30879793502390385,0.3496946925787549
14,941649,7572,117,25,5,1,true,0,nan,50,244.9248,352.47723,87.858734,81.54404,52.993874,0.13323474,0.13323474,10318.237243652344,206.36474487304687,-10318.237335205078,0.4718845208734274,0.6044766951960568
15,1015425,8235,10,25,5,1,true,0,nan,50,291.81088,1003.76013,90.90567,257.0148,44.372078,0.3499081,0.008777142,17324.632286071777,346.49264572143557,-17324.63217163086,0.7297471450269222,0.8314805167670153
16,1028336,8313,130,25,5,1,true,1,26.0,26,257.71283,38.49145,38.49145,15.455661,15.455661,0.06337619,0.016164541,5420.714183807373,208.48900706951434,-5420.714164733887,0.33712390462796277,0.3424654963612557
17,1038328,8373,102,25,5,1,true,0,nan,50,268.93643,563.94293,148.80373,364.08118,52.120483,0.4055164,0.01889348,26547.15200805664,530.9430401611328,-26547.151962280273,1.1295155251026154,1.4427104841689675
18,1043460,8408,89,25,5,1,true,0,nan,50,165.97649,241.89543,115.28302,109.5526,32.61712,0.057150126,0.0027770996,15809.718536376953,316.1943707275391,-15809.718727111816,0.7018131762742996,1.0547747838557984
