analysis,shift,k,param,method,value,baseline,raw_mse
off_manifold,id,1,2,energy_capture,0.021778106689453125,0.05978308618068695,0.01629195362329483
off_manifold,id,1,5,energy_capture,0.05283200368285179,0.13194285333156586,0.01629195362329483
off_manifold,id,1,10,energy_capture,0.10186424106359482,0.2212519496679306,0.01629195362329483
off_manifold,id,1,20,energy_capture,0.19697517156600952,0.37117987871170044,0.01629195362329483
off_manifold,id,1,30,energy_capture,0.2917075753211975,0.4975653290748596,0.01629195362329483
off_manifold,id,1,50,energy_capture,0.4816494286060333,0.7052250504493713,0.01629195362329483
off_manifold,id,1,80,energy_capture,0.7795942425727844,0.9283661842346191,0.01629195362329483
off_manifold,id,1,120,energy_capture,0.9423396587371826,0.9987743496894836,0.01629195362329483
off_manifold,id,1,160,energy_capture,0.9776247143745422,0.9997656345367432,0.01629195362329483
off_manifold,id,1,192,energy_capture,1.0,1.0,0.01629195362329483
projection_recovery,id,1,2,pca_denoise,0.941986083984375,0.01629195362329483,
projection_recovery,id,1,5,pca_denoise,0.9173729419708252,0.01629195362329483,
projection_recovery,id,1,10,pca_denoise,0.859753429889679,0.01629195362329483,
projection_recovery,id,1,20,pca_denoise,0.7353472113609314,0.01629195362329483,
projection_recovery,id,1,30,pca_denoise,0.6052055954933167,0.01629195362329483,
projection_recovery,id,1,50,pca_denoise,0.3635967969894409,0.01629195362329483,
projection_recovery,id,1,80,pca_denoise,0.09540160000324249,0.01629195362329483,
projection_recovery,id,1,120,pca_denoise,0.017153186723589897,0.01629195362329483,
projection_recovery,id,1,160,pca_denoise,0.01636369153857231,0.01629195362329483,
projection_recovery,id,1,192,pca_denoise,0.01629195548593998,0.01629195362329483,
projection_recovery,id,1,1,knn_snap,0.05813518539071083,0.01629195362329483,
projection_recovery,id,1,0.25,knn_soft,0.016039187088608742,0.01629195362329483,
projection_recovery,id,1,0.5,knn_soft,0.02247350849211216,0.01629195362329483,
projection_recovery,id,1,0.75,knn_soft,0.03559492155909538,0.01629195362329483,
projection_recovery,id,1,1.0,knn_soft,0.05540343001484871,0.01629195362329483,
nn_density,id,1,,pred_to_nn,2.786898612976074,3.1320793628692627,
off_manifold,id,3,2,energy_capture,0.032652560621500015,0.05978308618068695,0.06605663895606995
off_manifold,id,3,5,energy_capture,0.07052735984325409,0.13194285333156586,0.06605663895606995
off_manifold,id,3,10,energy_capture,0.12355221807956696,0.2212519496679306,0.06605663895606995
off_manifold,id,3,20,energy_capture,0.2196725457906723,0.37117987871170044,0.06605663895606995
off_manifold,id,3,30,energy_capture,0.31653544306755066,0.4975653290748596,0.06605663895606995
off_manifold,id,3,50,energy_capture,0.5113729238510132,0.7052250504493713,0.06605663895606995
off_manifold,id,3,80,energy_capture,0.8256210088729858,0.9283661842346191,0.06605663895606995
off_manifold,id,3,120,energy_capture,0.978394627571106,0.9987743496894836,0.06605663895606995
off_manifold,id,3,160,energy_capture,0.9919273257255554,0.9997656345367432,0.06605663895606995
