condition,anchor_interval,codebook,k,env_steps,mse,drift_over_spread
open_loop,10,none,0,0,0.0,0.0
open_loop,10,none,1,5,0.016291946172714233,0.01714230701327324
open_loop,10,none,2,10,0.036431171000003815,0.03852643817663193
open_loop,10,none,3,15,0.06605665385723114,0.07060763984918594
open_loop,10,none,4,20,0.1024634838104248,0.11151671409606934
open_loop,10,none,5,25,0.1531257927417755,0.16870659589767456
open_loop,10,none,6,30,0.21298815310001373,0.23661693930625916
open_loop,10,none,7,35,0.2726932764053345,0.30602601170539856
open_loop,10,none,8,40,0.3338621258735657,0.3798968493938446
open_loop,10,none,9,45,0.3952424228191376,0.462699830532074
open_loop,10,none,10,50,0.45569905638694763,0.5555089712142944
anchored,2,continuous,0,0,0.0,0.0
anchored,2,continuous,1,5,0.016291946172714233,0.01714230701327324
anchored,2,continuous,2,10,0.036431171000003815,0.03852643817663193
anchored,2,continuous,3,15,0.019778333604335785,0.021140964701771736
anchored,2,continuous,4,20,0.04635937511920929,0.0504554882645607
anchored,2,continuous,5,25,0.024058572947978973,0.02650657296180725
anchored,2,continuous,6,30,0.0568741150200367,0.06318369507789612
anchored,2,continuous,7,35,0.02203383296728134,0.024727143347263336
anchored,2,continuous,8,40,0.05163826048374176,0.05875842273235321
anchored,2,continuous,9,45,0.031473103910684586,0.036844730377197266
anchored,2,continuous,10,50,0.08425352722406387,0.10270723700523376
anchored,2,C128,0,0,0.0,0.0
anchored,2,C128,1,5,0.6120732426643372,0.6440205574035645
anchored,2,C128,2,10,0.7262648344039917,0.7680345177650452
anchored,2,C128,3,15,0.580091655254364,0.6200571656227112
anchored,2,C128,4,20,0.7028298377990723,0.7649288177490234
anchored,2,C128,5,25,0.5362489819526672,0.5908132195472717
anchored,2,C128,6,30,0.6539696455001831,0.7265206575393677
anchored,2,C128,7,35,0.495369553565979,0.555921196937561
anchored,2,C128,8,40,0.609481155872345,0.6935197114944458
anchored,2,C128,9,45,0.5231730937957764,0.6124649047851562
anchored,2,C128,10,50,0.6704467535018921,0.8172919750213623
anchored,2,C512,0,0,0.0,0.0
anchored,2,C512,1,5,0.3363706171512604,0.3539275527000427
anchored,2,C512,2,10,0.4433453381061554,0.4688434898853302
anchored,2,C512,3,15,0.3023776113986969,0.3232099711894989
anchored,2,C512,4,20,0.40224936604499817,0.4377903938293457
anchored,2,C512,5,25,0.3424273431301117,0.3772698938846588
anchored,2,C512,6,30,0.46665582060813904,0.5184263586997986
anchored,2,C512,7,35,0.32770997285842896,0.36776769161224365
anchored,2,C512,8,40,0.4366879165172577,0.4969008266925812
anchored,2,C512,9,45,0.3422277271747589,0.4006369411945343
anchored,2,C512,10,50,0.4747850000858307,0.5787752270698547
anchored,2,C2048,0,0,0.0,0.0
anchored,2,C2048,1,5,0.15886399149894714,0.1671559363603592
anchored,2,C2048,2,10,0.23218485713005066,0.24553851783275604
anchored,2,C2048,3,15,0.16616201400756836,0.17760977149009705
anchored,2,C2048,4,20,0.2426631897687912,0.26410385966300964
anchored,2,C2048,5,25,0.19046007096767426,0.20983970165252686
anchored,2,C2048,6,30,0.27328312397003174,0.3036009967327118
anchored,2,C2048,7,35,0.20106640458106995,0.2256437987089157
anchored,2,C2048,8,40,0.28373265266418457,0.32285526394844055
anchored,2,C2048,9,45,0.20527887344360352,0.2403145432472229
anchored,2,C2048,10,50,0.3051184117794037,0.3719472587108612
anchored,2,C8192,0,0,0.0,0.0
anchored,2,C8192,1,5,0.0874527096748352,0.09201732277870178
anchored,2,C8192,2,10,0.1319834440946579,0.13957421481609344
anchored,2,C8192,3,15,0.1017947793006897,0.10880794376134872
anchored,2,C8192,4,20,0.1534666121006012,0.16702625155448914
anchored,2,C8192,5,25,0.12088973820209503,0.13319046795368195
anchored,2,C8192,6,30,0.1784619837999344,0.19826045632362366
anchored,2,C8192,7,35,0.12842921912670135,0.14412780106067657
anchored,2,C8192,8,40,0.1913575828075409,0.21774300932884216
anchored,2,C8192,9,45,0.1484234780073166,0.1737554371356964
anchored,2,C8192,10,50,0.22272275388240814,0.27150481939315796
anchored,3,continuous,0,0,0.0,0.0
anchored,3,continuous,1,5,0.016291944310069084,0.01714230515062809
anchored,3,continuous,2,10,0.036431171000003815,0.03852643817663193
anchored,3,continuous,3,15,0.06605665385723114,0.07060763984918594
anchored,3,continuous,4,20,0.02314784564077854,0.025193089619278908
anchored,3,continuous,5,25,0.061035435646772385,0.06724589318037033
anchored,3,continuous,6,30,0.11023596674203873,0.12246548384428024
anchored,3,continuous,7,35,0.022033831104636192,0.024727141484618187
