strategy,family,generator,selector,selection_space,deployable,tuned_on_dev,state_index,split,dataset_row,episode,start,true,success,selected_step
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,0,dev,30633,278,9,14.565883311376645,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,1,test,43081,380,39,22.47224416874468,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,2,dev,68887,624,90,121.97502452501479,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,3,test,143460,1172,0,461.0571524036827,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,4,dev,161350,1326,6,87.37559648775289,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,5,test,164138,1343,91,17.060775102382724,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,6,dev,283976,2392,36,15.328309121473763,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,7,test,326635,2812,54,19.909126478981687,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,8,dev,377817,3108,5,152.60500121741057,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,9,test,459527,3743,64,36.88325203310997,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,10,dev,471804,3833,11,35.808295752134555,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,11,test,496196,3986,69,88.97546130290078,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,12,dev,502306,4030,19,17.392941174333497,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,13,test,634492,5065,18,17.696510345437478,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,14,dev,658744,5204,46,57.41949901935365,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,15,test,668349,5273,45,12.750893671041526,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,16,dev,704961,5616,16,85.05589980523325,False,29
