strategy,family,generator,selector,selection_space,candidate_budget,deployable,tuned_on_dev,split,n_states,mean_true,true_ci_low,true_ci_high,mean_success,success_ci_low,success_ci_high,mean_selected_step,baseline,delta_true_vs_baseline,delta_true_ci_low,delta_true_ci_high,delta_success_vs_baseline,delta_success_ci_low,delta_success_ci_high
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,1,True,False,all,60,91.78481732650702,57.98118137999438,131.27270211150977,0.5,0.36666666666666664,0.6333333333333333,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,1,True,False,all,60,110.91485063826329,86.16021852791589,137.96521415371558,0.2,0.1,0.3,4.0,pd_d192_k3_eval:returned:final,19.130033311756257,-4.361129030846329,42.321717244998375,-0.3,-0.43333333333333335,-0.18333333333333332
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,1,True,False,all,60,103.2465265218191,74.95356782344253,135.32456864343703,0.25,0.15,0.36666666666666664,9.0,pd_d192_k3_eval:returned:final,11.461709195312086,-3.039539666451286,26.427274261385197,-0.25,-0.36666666666666664,-0.15
pd_d192_k3_eval:returned:fixed_step_19,fixed_round,pd_d192_k3_eval,fixed_step_19,returned_means,1,True,False,all,60,96.5362700557725,64.21850721636177,133.91300235796717,0.4166666666666667,0.3,0.5333333333333333,19.0,pd_d192_k3_eval:returned:final,4.751452729265471,-2.395373800134023,13.30204553345461,-0.08333333333333333,-0.16666666666666666,0.0
pd_d192_k3_eval:returned:fixed_step_29,fixed_round,pd_d192_k3_eval,fixed_step_29,returned_means,1,True,False,all,60,91.78481732650702,57.98118137999438,131.27270211150977,0.5,0.36666666666666664,0.6333333333333333,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:dev_best_round,dev_tuned_fixed_round,pd_d192_k3_eval,fixed_step_29,returned_means,1,True,True,all,60,91.78481732650702,57.98118137999438,131.27270211150977,0.5,0.36666666666666664,0.6333333333333333,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:score_by_pd_d192_k3_eval,round_verification,pd_d192_k3_eval,pd_d192_k3_eval,returned_means,4,True,False,all,60,91.78481732650702,57.98118137999438,131.27270211150977,0.5,0.36666666666666664,0.6333333333333333,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:consensus,round_verification,pd_d192_k3_eval,all_rank_consensus,returned_means,4,True,False,all,60,91.78481732650702,57.98118137999438,131.27270211150977,0.5,0.36666666666666664,0.6333333333333333,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:nonself_consensus,round_verification,pd_d192_k3_eval,nonself_rank_consensus,returned_means,4,True,False,all,60,91.78481732650702,57.98118137999438,131.27270211150977,0.5,0.36666666666666664,0.6333333333333333,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:oracle_round,oracle_ceiling,pd_d192_k3_eval,true_simulator_cost,returned_means,4,False,False,all,60,69.12844376611211,46.0890141408315,95.30702338368563,0.5333333333333333,0.4,0.6666666666666666,16.416666666666668,pd_d192_k3_eval:returned:final,-22.656373560394893,-38.490093036265925,-9.941695803975001,0.03333333333333333,0.0,0.08333333333333333
pd_d192_k3_eval:population_all:score_by_pd_d192_k3_eval,population_verification,pd_d192_k3_eval,pd_d192_k3_eval,all_recorded_populations,1200,True,False,all,60,89.29637328068279,55.48745240654928,128.75464159569088,0.4666666666666667,0.3333333333333333,0.6,28.25,pd_d192_k3_eval:returned:final,-2.488444045824225,-8.994817588132824,3.501882756455325,-0.03333333333333333,-0.08333333333333333,0.0
pd_d192_k3_eval:population_elite:score_by_pd_d192_k3_eval,elite_verification,pd_d192_k3_eval,pd_d192_k3_eval,recorded_generator_elites,120,True,False,all,60,89.29637328068279,55.48745240654928,128.75464159569088,0.4666666666666667,0.3333333333333333,0.6,28.25,pd_d192_k3_eval:returned:final,-2.488444045824225,-8.994817588132824,3.501882756455325,-0.03333333333333333,-0.08333333333333333,0.0
pd_d192_k3_eval:population_all:all_rank_consensus,population_verification,pd_d192_k3_eval,all_rank_consensus,all_recorded_populations,1200,True,False,all,60,89.29637328068279,55.48745240654928,128.75464159569088,0.4666666666666667,0.3333333333333333,0.6,28.25,pd_d192_k3_eval:returned:final,-2.488444045824225,-8.994817588132824,3.501882756455325,-0.03333333333333333,-0.08333333333333333,0.0
pd_d192_k3_eval:population_elite:all_rank_consensus,elite_verification,pd_d192_k3_eval,all_rank_consensus,recorded_generator_elites,120,True,False,all,60,89.29637328068279,55.48745240654928,128.75464159569088,0.4666666666666667,0.3333333333333333,0.6,28.25,pd_d192_k3_eval:returned:final,-2.488444045824225,-8.994817588132824,3.501882756455325,-0.03333333333333333,-0.08333333333333333,0.0
pd_d192_k3_eval:population_all:nonself_rank_consensus,population_verification,pd_d192_k3_eval,nonself_rank_consensus,all_recorded_populations,1200,True,False,all,60,89.29637328068279,55.48745240654928,128.75464159569088,0.4666666666666667,0.3333333333333333,0.6,28.25,pd_d192_k3_eval:returned:final,-2.488444045824225,-8.994817588132824,3.501882756455325,-0.03333333333333333,-0.08333333333333333,0.0
pd_d192_k3_eval:population_elite:nonself_rank_consensus,elite_verification,pd_d192_k3_eval,nonself_rank_consensus,recorded_generator_elites,120,True,False,all,60,89.29637328068279,55.48745240654928,128.75464159569088,0.4666666666666667,0.3333333333333333,0.6,28.25,pd_d192_k3_eval:returned:final,-2.488444045824225,-8.994817588132824,3.501882756455325,-0.03333333333333333,-0.08333333333333333,0.0
portfolio:returned:score_by_pd_d192_k3_eval,multi_proposer_portfolio,all,pd_d192_k3_eval,all_returned_means,4,True,False,all,60,91.78481732650702,57.98118137999438,131.27270211150977,0.5,0.36666666666666664,0.6333333333333333,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
portfolio:returned:rank_consensus,multi_proposer_portfolio,all,all_rank_consensus,all_returned_means,4,True,False,all,60,91.78481732650702,57.98118137999438,131.27270211150977,0.5,0.36666666666666664,0.6333333333333333,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
portfolio:returned:oracle,oracle_ceiling,all,true_simulator_cost,all_returned_means,4,False,False,all,60,69.12844376611211,46.0890141408315,95.30702338368563,0.5333333333333333,0.4,0.6666666666666666,16.416666666666668,pd_d192_k3_eval:returned:final,-22.656373560394893,-38.490093036265925,-9.941695803975001,0.03333333333333333,0.0,0.08333333333333333
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,1,True,False,dev,30,57.04767852693687,34.79893299395034,84.11090759765712,0.5333333333333333,0.36666666666666664,0.7,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,1,True,False,dev,30,97.79260894118583,69.27579466257713,129.34277209734424,0.2,0.06666666666666667,0.36666666666666664,4.0,pd_d192_k3_eval:returned:final,40.744930414248984,14.362618064275706,68.57504900840664,-0.3333333333333333,-0.5333333333333333,-0.13333333333333333
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,1,True,False,dev,30,78.3543308459948,55.12562889117855,105.05596129710668,0.23333333333333334,0.1,0.4,9.0,pd_d192_k3_eval:returned:final,21.30665231905792,3.856189754082935,38.46564745581894,-0.3,-0.4666666666666667,-0.13333333333333333
pd_d192_k3_eval:returned:fixed_step_19,fixed_round,pd_d192_k3_eval,fixed_step_19,returned_means,1,True,False,dev,30,60.77946763319991,38.48203507851337,86.78701598431391,0.43333333333333335,0.26666666666666666,0.6,19.0,pd_d192_k3_eval:returned:final,3.7317891062630535,-3.6801989297223514,11.562477577523282,-0.1,-0.23333333333333334,0.0
pd_d192_k3_eval:returned:fixed_step_29,fixed_round,pd_d192_k3_eval,fixed_step_29,returned_means,1,True,False,dev,30,57.04767852693687,34.79893299395034,84.11090759765712,0.5333333333333333,0.36666666666666664,0.7,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:dev_best_round,dev_tuned_fixed_round,pd_d192_k3_eval,fixed_step_29,returned_means,1,True,True,dev,30,57.04767852693687,34.79893299395034,84.11090759765712,0.5333333333333333,0.36666666666666664,0.7,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:score_by_pd_d192_k3_eval,round_verification,pd_d192_k3_eval,pd_d192_k3_eval,returned_means,4,True,False,dev,30,57.04767852693687,34.79893299395034,84.11090759765712,0.5333333333333333,0.36666666666666664,0.7,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:consensus,round_verification,pd_d192_k3_eval,all_rank_consensus,returned_means,4,True,False,dev,30,57.04767852693687,34.79893299395034,84.11090759765712,0.5333333333333333,0.36666666666666664,0.7,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:nonself_consensus,round_verification,pd_d192_k3_eval,nonself_rank_consensus,returned_means,4,True,False,dev,30,57.04767852693687,34.79893299395034,84.11090759765712,0.5333333333333333,0.36666666666666664,0.7,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:oracle_round,oracle_ceiling,pd_d192_k3_eval,true_simulator_cost,returned_means,4,False,False,dev,30,46.71583289207273,29.216868563274865,67.18502852606223,0.5666666666666667,0.4,0.7333333333333333,18.166666666666668,pd_d192_k3_eval:returned:final,-10.331845634864129,-21.744318762018462,-3.2149881752026883,0.03333333333333333,0.0,0.1
pd_d192_k3_eval:population_all:score_by_pd_d192_k3_eval,population_verification,pd_d192_k3_eval,pd_d192_k3_eval,all_recorded_populations,1200,True,False,dev,30,50.94544259678977,30.618746181171133,76.99820798056791,0.5,0.3333333333333333,0.6666666666666666,28.166666666666668,pd_d192_k3_eval:returned:final,-6.102235930147089,-15.859384909050254,0.4130970908125967,-0.03333333333333333,-0.1,0.0
pd_d192_k3_eval:population_elite:score_by_pd_d192_k3_eval,elite_verification,pd_d192_k3_eval,pd_d192_k3_eval,recorded_generator_elites,120,True,False,dev,30,50.94544259678977,30.618746181171133,76.99820798056791,0.5,0.3333333333333333,0.6666666666666666,28.166666666666668,pd_d192_k3_eval:returned:final,-6.102235930147089,-15.859384909050254,0.4130970908125967,-0.03333333333333333,-0.1,0.0
pd_d192_k3_eval:population_all:all_rank_consensus,population_verification,pd_d192_k3_eval,all_rank_consensus,all_recorded_populations,1200,True,False,dev,30,50.94544259678977,30.618746181171133,76.99820798056791,0.5,0.3333333333333333,0.6666666666666666,28.166666666666668,pd_d192_k3_eval:returned:final,-6.102235930147089,-15.859384909050254,0.4130970908125967,-0.03333333333333333,-0.1,0.0
pd_d192_k3_eval:population_elite:all_rank_consensus,elite_verification,pd_d192_k3_eval,all_rank_consensus,recorded_generator_elites,120,True,False,dev,30,50.94544259678977,30.618746181171133,76.99820798056791,0.5,0.3333333333333333,0.6666666666666666,28.166666666666668,pd_d192_k3_eval:returned:final,-6.102235930147089,-15.859384909050254,0.4130970908125967,-0.03333333333333333,-0.1,0.0
pd_d192_k3_eval:population_all:nonself_rank_consensus,population_verification,pd_d192_k3_eval,nonself_rank_consensus,all_recorded_populations,1200,True,False,dev,30,50.94544259678977,30.618746181171133,76.99820798056791,0.5,0.3333333333333333,0.6666666666666666,28.166666666666668,pd_d192_k3_eval:returned:final,-6.102235930147089,-15.859384909050254,0.4130970908125967,-0.03333333333333333,-0.1,0.0
pd_d192_k3_eval:population_elite:nonself_rank_consensus,elite_verification,pd_d192_k3_eval,nonself_rank_consensus,recorded_generator_elites,120,True,False,dev,30,50.94544259678977,30.618746181171133,76.99820798056791,0.5,0.3333333333333333,0.6666666666666666,28.166666666666668,pd_d192_k3_eval:returned:final,-6.102235930147089,-15.859384909050254,0.4130970908125967,-0.03333333333333333,-0.1,0.0
portfolio:returned:score_by_pd_d192_k3_eval,multi_proposer_portfolio,all,pd_d192_k3_eval,all_returned_means,4,True,False,dev,30,57.04767852693687,34.79893299395034,84.11090759765712,0.5333333333333333,0.36666666666666664,0.7,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
portfolio:returned:rank_consensus,multi_proposer_portfolio,all,all_rank_consensus,all_returned_means,4,True,False,dev,30,57.04767852693687,34.79893299395034,84.11090759765712,0.5333333333333333,0.36666666666666664,0.7,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
portfolio:returned:oracle,oracle_ceiling,all,true_simulator_cost,all_returned_means,4,False,False,dev,30,46.71583289207273,29.216868563274865,67.18502852606223,0.5666666666666667,0.4,0.7333333333333333,18.166666666666668,pd_d192_k3_eval:returned:final,-10.331845634864129,-21.744318762018462,-3.2149881752026883,0.03333333333333333,0.0,0.1
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,1,True,False,test,30,126.52195612607719,65.08668694353292,200.31710625905288,0.4666666666666667,0.3,0.6333333333333333,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,1,True,False,test,30,124.03709233534072,84.62710754721562,169.08276191431105,0.2,0.06666666666666667,0.3333333333333333,4.0,pd_d192_k3_eval:returned:final,-2.48486379073646,-40.500292702872336,32.262266737196406,-0.26666666666666666,-0.43333333333333335,-0.13333333333333333
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,1,True,False,test,30,128.13872219764346,78.57556006743637,187.29099754068523,0.26666666666666666,0.1,0.43333333333333335,9.0,pd_d192_k3_eval:returned:final,1.6167660715662515,-21.16683908948821,25.793879262131252,-0.2,-0.3333333333333333,-0.06666666666666667
pd_d192_k3_eval:returned:fixed_step_19,fixed_round,pd_d192_k3_eval,fixed_step_19,returned_means,1,True,False,test,30,132.2930724783451,74.3318621419687,202.3612314914985,0.4,0.23333333333333334,0.5666666666666667,19.0,pd_d192_k3_eval:returned:final,5.771116352267887,-5.983627756184775,21.08385128410589,-0.06666666666666667,-0.2,0.06666666666666667
