split,generator,scorer,is_self_scorer,step,n_states,elite_count,mean_elite_overlap,mean_update_cosine,mean_relative_update_error,mean_learned_elite_success_fraction,mean_oracle_elite_success_fraction
all,pd_d192_k3_eval,pd_d192_k3_eval,True,4,60,30,0.2533333333333333,0.294751460996338,1.0901166018071413,0.14,0.22666666666666668
all,pd_d192_k3_eval,pd_d192_k3_eval,True,9,60,30,0.2183333333333333,0.21702306253982595,1.1592217050367033,0.24666666666666665,0.3811111111111111
all,pd_d192_k3_eval,pd_d192_k3_eval,True,19,60,30,0.13499999999999998,0.13201755921706163,1.1586779828171552,0.3927777777777778,0.6116666666666667
all,pd_d192_k3_eval,pd_d192_k3_eval,True,29,60,30,0.07944444444444444,0.043103890040547016,1.1982814398991422,0.47555555555555556,0.6111111111111112
dev,pd_d192_k3_eval,pd_d192_k3_eval,True,4,30,30,0.2611111111111111,0.30395537175401355,1.0826080145064272,0.14222222222222222,0.21444444444444447
dev,pd_d192_k3_eval,pd_d192_k3_eval,True,9,30,30,0.24333333333333335,0.3014990952266475,1.091812045862222,0.2588888888888889,0.39888888888888896
dev,pd_d192_k3_eval,pd_d192_k3_eval,True,19,30,30,0.13111111111111112,0.12306993406041178,1.1744888433893323,0.40555555555555556,0.7
dev,pd_d192_k3_eval,pd_d192_k3_eval,True,29,30,30,0.07888888888888887,0.06556975402932153,1.1700593699128363,0.49,0.66
test,pd_d192_k3_eval,pd_d192_k3_eval,True,4,30,30,0.24555555555555558,0.2855475502386623,1.097625189107855,0.1377777777777778,0.23888888888888887
test,pd_d192_k3_eval,pd_d192_k3_eval,True,9,30,30,0.19333333333333333,0.13254702985300443,1.2266313642111857,0.23444444444444448,0.36333333333333334
test,pd_d192_k3_eval,pd_d192_k3_eval,True,19,30,30,0.13888888888888887,0.1409651843737114,1.1428671222449769,0.38,0.5233333333333333
test,pd_d192_k3_eval,pd_d192_k3_eval,True,29,30,30,0.08000000000000002,0.020638026051772507,1.2265035098854473,0.4611111111111111,0.5622222222222223
