strategy,family,generator,selector,selection_space,deployable,tuned_on_dev,state_index,split,dataset_row,episode,start,true,success,selected_step
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,0,dev,151146,1243,59,58.00828580061943,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,1,test,160867,1323,0,77.6868749388156,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,2,dev,202352,1644,51,7.248368862671502,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,3,test,209765,1698,66,15.278250573498385,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,4,dev,217353,1773,11,17.239502352608124,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,5,test,223315,1841,14,12.842634487854424,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,6,dev,310451,2671,96,14.079151122124209,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,7,test,390562,3199,35,16.382189537393437,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,8,dev,431727,3540,24,9.499867198885449,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,9,test,474074,3847,75,37.288076767512415,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,10,dev,533874,4318,18,21.20061133848492,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,11,test,644580,5118,142,185.78198110292118,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,12,dev,829738,6657,59,22.699519401195342,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,13,test,869151,6996,39,14.288729190617381,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,14,dev,942841,7582,51,11.227443854738024,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,15,test,1018266,8252,97,12.313582097270427,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,16,dev,1030584,8327,40,2.5105060537798076,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,17,test,1040084,8384,49,160.6964192083715,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,18,dev,1045185,8421,7,81.32233624803169,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,19,test,1055880,8502,55,137.38366261363245,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,20,dev,1056082,8504,47,10.683030140824949,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,21,test,1180892,9642,28,17.687361735661348,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,22,dev,1212032,9909,97,5.546765325731793,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,23,test,1242570,10146,97,14.321262790949856,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,24,dev,1283018,10404,128,14.421888016055432,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,25,test,1301452,10501,132,15.832401768108058,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,26,dev,1474720,11770,36,11.378838140726822,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,27,test,1505301,12050,1,582.5177656836264,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,28,dev,1529062,12219,83,21.273405390247834,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,29,test,1580839,12585,6,77.62316833224872,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,30,dev,1626162,12946,66,19.97278596162415,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,31,test,1634000,13016,64,213.80408617023744,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,32,dev,1671846,13289,108,215.86092909783574,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,33,test,1711529,13555,30,27.55306923054851,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,34,dev,1765609,14019,13,14.549269791753671,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,35,test,1772758,14077,32,184.21034288055063,False,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,36,dev,1801558,14288,40,15.233154306935742,True,29
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,True,False,37,test,1813392,14407,16,17.97865626057562,True,29
