strategy,family,generator,selector,selection_space,candidate_budget,deployable,tuned_on_dev,split,n_states,mean_true,true_ci_low,true_ci_high,mean_success,success_ci_low,success_ci_high,mean_selected_step,baseline,delta_true_vs_baseline,delta_true_ci_low,delta_true_ci_high,delta_success_vs_baseline,delta_success_ci_low,delta_success_ci_high
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,1,True,False,all,50,92.08416393181949,50.87896694466007,143.2436239215202,0.58,0.44,0.72,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:fixed_step_29,fixed_round,pd_d192_k3_eval,fixed_step_29,returned_means,1,True,False,all,50,92.08416393181949,50.87896694466007,143.2436239215202,0.58,0.44,0.72,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:dev_best_round,dev_tuned_fixed_round,pd_d192_k3_eval,fixed_step_29,returned_means,1,True,True,all,50,92.08416393181949,50.87896694466007,143.2436239215202,0.58,0.44,0.72,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:score_by_pd_d192_k3_eval,round_verification,pd_d192_k3_eval,pd_d192_k3_eval,returned_means,1,True,False,all,50,92.08416393181949,50.87896694466007,143.2436239215202,0.58,0.44,0.72,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:score_by_iter2_multistep_eval,round_verification,pd_d192_k3_eval,iter2_multistep_eval,returned_means,1,True,False,all,50,92.08416393181949,50.87896694466007,143.2436239215202,0.58,0.44,0.72,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:score_by_pd_d192_k10_eval,round_verification,pd_d192_k3_eval,pd_d192_k10_eval,returned_means,1,True,False,all,50,92.08416393181949,50.87896694466007,143.2436239215202,0.58,0.44,0.72,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:consensus,round_verification,pd_d192_k3_eval,all_rank_consensus,returned_means,3,True,False,all,50,92.08416393181949,50.87896694466007,143.2436239215202,0.58,0.44,0.72,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:nonself_consensus,round_verification,pd_d192_k3_eval,nonself_rank_consensus,returned_means,2,True,False,all,50,92.08416393181949,50.87896694466007,143.2436239215202,0.58,0.44,0.72,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:oracle_round,oracle_ceiling,pd_d192_k3_eval,true_simulator_cost,returned_means,1,False,False,all,50,92.08416393181949,50.87896694466007,143.2436239215202,0.58,0.44,0.72,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:population_all:score_by_pd_d192_k3_eval,population_verification,pd_d192_k3_eval,pd_d192_k3_eval,all_recorded_populations,300,True,False,all,50,93.65599685764276,51.95708304852535,145.5096356426766,0.6,0.46,0.74,29.0,pd_d192_k3_eval:returned:final,1.5718329258232777,0.21089717879393344,3.047466952838609,0.02,-0.04,0.08
pd_d192_k3_eval:population_elite:score_by_pd_d192_k3_eval,elite_verification,pd_d192_k3_eval,pd_d192_k3_eval,recorded_generator_elites,30,True,False,all,50,93.65599685764276,51.95708304852535,145.5096356426766,0.6,0.46,0.74,29.0,pd_d192_k3_eval:returned:final,1.5718329258232777,0.21089717879393344,3.047466952838609,0.02,-0.04,0.08
pd_d192_k3_eval:population_all:score_by_iter2_multistep_eval,population_verification,pd_d192_k3_eval,iter2_multistep_eval,all_recorded_populations,300,True,False,all,50,94.3740442652946,52.36028770995569,146.66842606881616,0.62,0.48,0.76,29.0,pd_d192_k3_eval:returned:final,2.2898803334751037,-0.9969417629714493,6.1823470765083846,0.04,-0.04,0.12
pd_d192_k3_eval:population_elite:score_by_iter2_multistep_eval,elite_verification,pd_d192_k3_eval,iter2_multistep_eval,recorded_generator_elites,30,True,False,all,50,92.86567423704795,51.29415229511101,144.9080977122367,0.62,0.48,0.76,29.0,pd_d192_k3_eval:returned:final,0.7815103052284417,-1.0121258595873959,2.6405976433170024,0.04,-0.04,0.12
pd_d192_k3_eval:population_all:score_by_pd_d192_k10_eval,population_verification,pd_d192_k3_eval,pd_d192_k10_eval,all_recorded_populations,300,True,False,all,50,94.32202703637991,53.08674436989921,145.68471663259407,0.58,0.44,0.72,29.0,pd_d192_k3_eval:returned:final,2.237863104560398,-0.9389479834686989,5.89326607003951,0.0,-0.08,0.08
pd_d192_k3_eval:population_elite:score_by_pd_d192_k10_eval,elite_verification,pd_d192_k3_eval,pd_d192_k10_eval,recorded_generator_elites,30,True,False,all,50,92.94494110873678,52.12008189517075,144.07557964200578,0.58,0.44,0.72,29.0,pd_d192_k3_eval:returned:final,0.8607771769172782,-0.5465945869669843,2.331232128991038,0.0,-0.06,0.06
pd_d192_k3_eval:population_all:all_rank_consensus,population_verification,pd_d192_k3_eval,all_rank_consensus,all_recorded_populations,900,True,False,all,50,92.41774592877968,50.63691166062183,144.82023818935713,0.6,0.46,0.74,29.0,pd_d192_k3_eval:returned:final,0.3335819969601704,-1.5916606885247966,2.5027300948615894,0.02,-0.04,0.1
pd_d192_k3_eval:population_elite:all_rank_consensus,elite_verification,pd_d192_k3_eval,all_rank_consensus,recorded_generator_elites,90,True,False,all,50,92.60761905037842,50.81032430551974,144.85636768009218,0.6,0.46,0.74,29.0,pd_d192_k3_eval:returned:final,0.5234551185588999,-1.4360848968373903,2.7122620192683,0.02,-0.04,0.1
pd_d192_k3_eval:population_all:nonself_rank_consensus,population_verification,pd_d192_k3_eval,nonself_rank_consensus,all_recorded_populations,600,True,False,all,50,95.13629507368775,52.812897235073656,148.23369132345357,0.62,0.48,0.76,29.0,pd_d192_k3_eval:returned:final,3.05213114186824,-0.24732312741441304,6.903013366711344,0.04,-0.04,0.12
pd_d192_k3_eval:population_elite:nonself_rank_consensus,elite_verification,pd_d192_k3_eval,nonself_rank_consensus,recorded_generator_elites,60,True,False,all,50,92.60159949063676,51.01886246602622,144.7040195780965,0.64,0.5,0.78,29.0,pd_d192_k3_eval:returned:final,0.5174355588172637,-1.5557460296800976,2.701804277732789,0.06,-0.02,0.14
portfolio:returned:score_by_pd_d192_k3_eval,multi_proposer_portfolio,all,pd_d192_k3_eval,all_returned_means,1,True,False,all,50,92.08416393181949,50.87896694466007,143.2436239215202,0.58,0.44,0.72,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
portfolio:returned:score_by_iter2_multistep_eval,multi_proposer_portfolio,all,iter2_multistep_eval,all_returned_means,1,True,False,all,50,92.08416393181949,50.87896694466007,143.2436239215202,0.58,0.44,0.72,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
portfolio:returned:score_by_pd_d192_k10_eval,multi_proposer_portfolio,all,pd_d192_k10_eval,all_returned_means,1,True,False,all,50,92.08416393181949,50.87896694466007,143.2436239215202,0.58,0.44,0.72,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
portfolio:returned:rank_consensus,multi_proposer_portfolio,all,all_rank_consensus,all_returned_means,3,True,False,all,50,92.08416393181949,50.87896694466007,143.2436239215202,0.58,0.44,0.72,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
portfolio:returned:oracle,oracle_ceiling,all,true_simulator_cost,all_returned_means,1,False,False,all,50,92.08416393181949,50.87896694466007,143.2436239215202,0.58,0.44,0.72,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,1,True,False,dev,25,48.729563495140404,24.433486936679472,77.14296585139704,0.68,0.48,0.84,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:fixed_step_29,fixed_round,pd_d192_k3_eval,fixed_step_29,returned_means,1,True,False,dev,25,48.729563495140404,24.433486936679472,77.14296585139704,0.68,0.48,0.84,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:dev_best_round,dev_tuned_fixed_round,pd_d192_k3_eval,fixed_step_29,returned_means,1,True,True,dev,25,48.729563495140404,24.433486936679472,77.14296585139704,0.68,0.48,0.84,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:score_by_pd_d192_k3_eval,round_verification,pd_d192_k3_eval,pd_d192_k3_eval,returned_means,1,True,False,dev,25,48.729563495140404,24.433486936679472,77.14296585139704,0.68,0.48,0.84,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:score_by_iter2_multistep_eval,round_verification,pd_d192_k3_eval,iter2_multistep_eval,returned_means,1,True,False,dev,25,48.729563495140404,24.433486936679472,77.14296585139704,0.68,0.48,0.84,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:score_by_pd_d192_k10_eval,round_verification,pd_d192_k3_eval,pd_d192_k10_eval,returned_means,1,True,False,dev,25,48.729563495140404,24.433486936679472,77.14296585139704,0.68,0.48,0.84,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:consensus,round_verification,pd_d192_k3_eval,all_rank_consensus,returned_means,3,True,False,dev,25,48.729563495140404,24.433486936679472,77.14296585139704,0.68,0.48,0.84,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:nonself_consensus,round_verification,pd_d192_k3_eval,nonself_rank_consensus,returned_means,2,True,False,dev,25,48.729563495140404,24.433486936679472,77.14296585139704,0.68,0.48,0.84,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:oracle_round,oracle_ceiling,pd_d192_k3_eval,true_simulator_cost,returned_means,1,False,False,dev,25,48.729563495140404,24.433486936679472,77.14296585139704,0.68,0.48,0.84,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
