state_index,split,dataset_row,episode,start,generator,scorer,is_self_scorer,step,elite_count,elite_overlap,update_cosine,relative_update_error,learned_update_norm,oracle_update_norm,learned_elite_success_fraction,oracle_elite_success_fraction
0,dev,151146,1243,59,pd_d192_k3_eval,pd_d192_k3_eval,True,29,30,0.13333333333333333,0.027333971153754664,1.1611375772518189,0.4370640308965088,0.7071252779793008,0.0,0.0
0,dev,151146,1243,59,pd_d192_k3_eval,iter2_multistep_eval,False,29,30,0.4,0.6192153119303923,0.8254907288252282,0.6179543587257309,0.7071252779793008,0.0,0.0
0,dev,151146,1243,59,pd_d192_k3_eval,pd_d192_k10_eval,False,29,30,0.0,-0.06086667397085013,1.4338919830235843,0.6849041446133303,0.7071252779793008,0.0,0.0
1,test,160867,1323,0,pd_d192_k3_eval,pd_d192_k3_eval,True,29,30,0.0,-0.2533100090893536,1.2875152301347133,0.2558864276610906,0.42911336735158295,0.0,0.0
1,test,160867,1323,0,pd_d192_k3_eval,iter2_multistep_eval,False,29,30,0.0,-0.07260750157462174,2.0304991047449685,0.7278036837186876,0.42911336735158295,0.0,0.0
1,test,160867,1323,0,pd_d192_k3_eval,pd_d192_k10_eval,False,29,30,0.0,-0.022479951781717106,2.0168251152982752,0.7419868524623378,0.42911336735158295,0.0,0.0
2,dev,202352,1644,51,pd_d192_k3_eval,pd_d192_k3_eval,True,29,30,0.3,0.3776762043383867,1.1556791764341505,0.3167916212319012,0.29628274680243183,1.0,1.0
2,dev,202352,1644,51,pd_d192_k3_eval,iter2_multistep_eval,False,29,30,0.23333333333333334,0.5186225052490238,1.174203978613711,0.39211116586613576,0.29628274680243183,0.8333333333333334,1.0
2,dev,202352,1644,51,pd_d192_k3_eval,pd_d192_k10_eval,False,29,30,0.0,0.13113932420814117,1.3936064249827216,0.3290505862822486,0.29628274680243183,0.9,1.0
3,test,209765,1698,66,pd_d192_k3_eval,pd_d192_k3_eval,True,29,30,0.03333333333333333,-0.040612626999127266,1.3104253782876796,0.29651679790890245,0.36731905750999383,1.0,1.0
3,test,209765,1698,66,pd_d192_k3_eval,iter2_multistep_eval,False,29,30,0.03333333333333333,-0.2902078375501224,1.528761395785953,0.331317548289804,0.36731905750999383,1.0,1.0
3,test,209765,1698,66,pd_d192_k3_eval,pd_d192_k10_eval,False,29,30,0.3,0.3774923740327163,1.1131920336119663,0.36559584871594497,0.36731905750999383,1.0,1.0
4,dev,217353,1773,11,pd_d192_k3_eval,pd_d192_k3_eval,True,29,30,0.06666666666666667,-0.06074692140662217,1.2555095337266302,0.2610177637526108,0.3724426659352546,0.8,1.0
