strategy,family,generator,selector,selection_space,candidate_budget,deployable,tuned_on_dev,split,n_states,mean_true,true_ci_low,true_ci_high,mean_success,success_ci_low,success_ci_high,mean_selected_step,baseline,delta_true_vs_baseline,delta_true_ci_low,delta_true_ci_high,delta_success_vs_baseline,delta_success_ci_low,delta_success_ci_high
pd_d192_k3_eval:returned:final,baseline,pd_d192_k3_eval,fixed_step_29,returned_means,1,True,False,all,12,81.56653705309292,30.42485195113326,146.53477278889022,0.4166666666666667,0.16666666666666666,0.6666666666666666,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:fixed_step_0,fixed_round,pd_d192_k3_eval,fixed_step_0,returned_means,1,True,False,all,12,155.53759696691054,103.65814566055286,209.15165549951405,0.08333333333333333,0.0,0.25,0.0,pd_d192_k3_eval:returned:final,73.97105991381761,17.51023466609725,129.8968538654683,-0.3333333333333333,-0.5833333333333334,-0.08333333333333333
pd_d192_k3_eval:returned:fixed_step_1,fixed_round,pd_d192_k3_eval,fixed_step_1,returned_means,1,True,False,all,12,131.84295781787094,84.48293912737635,180.94240668912676,0.08333333333333333,0.0,0.25,1.0,pd_d192_k3_eval:returned:final,50.27642076477803,-1.035746987826703,100.87782227193338,-0.3333333333333333,-0.5833333333333334,-0.08333333333333333
pd_d192_k3_eval:returned:fixed_step_2,fixed_round,pd_d192_k3_eval,fixed_step_2,returned_means,1,True,False,all,12,119.20699137667505,73.1457195919615,168.41690823503984,0.16666666666666666,0.0,0.4166666666666667,2.0,pd_d192_k3_eval:returned:final,37.64045432358213,-8.27996520193299,84.74937028688338,-0.25,-0.5,0.0
pd_d192_k3_eval:returned:fixed_step_4,fixed_round,pd_d192_k3_eval,fixed_step_4,returned_means,1,True,False,all,12,100.10998048313576,52.75321925105885,155.1096272108214,0.25,0.0,0.5,4.0,pd_d192_k3_eval:returned:final,18.543443430042817,-16.48961950745961,57.924848253641365,-0.16666666666666666,-0.4166666666666667,0.0
pd_d192_k3_eval:returned:fixed_step_9,fixed_round,pd_d192_k3_eval,fixed_step_9,returned_means,1,True,False,all,12,98.9148803543211,43.759956667220365,164.60150407238186,0.25,0.0,0.5,9.0,pd_d192_k3_eval:returned:final,17.34834330122818,-8.16337362469541,53.68706406889347,-0.16666666666666666,-0.4166666666666667,0.0
pd_d192_k3_eval:returned:fixed_step_19,fixed_round,pd_d192_k3_eval,fixed_step_19,returned_means,1,True,False,all,12,95.26869113698888,39.03876183264421,162.3406866842295,0.25,0.0,0.5,19.0,pd_d192_k3_eval:returned:final,13.702154083895936,0.09543542538278613,37.389925674625985,-0.16666666666666666,-0.4166666666666667,0.0
pd_d192_k3_eval:returned:fixed_step_29,fixed_round,pd_d192_k3_eval,fixed_step_29,returned_means,1,True,False,all,12,81.56653705309292,30.42485195113326,146.53477278889022,0.4166666666666667,0.16666666666666666,0.6666666666666666,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:dev_best_round,dev_tuned_fixed_round,pd_d192_k3_eval,fixed_step_29,returned_means,1,True,True,all,12,81.56653705309292,30.42485195113326,146.53477278889022,0.4166666666666667,0.16666666666666666,0.6666666666666666,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
pd_d192_k3_eval:returned:score_by_pd_d192_k3_eval,round_verification,pd_d192_k3_eval,pd_d192_k3_eval,returned_means,7,True,False,all,12,81.56653705309292,30.42485195113326,146.53477278889022,0.4166666666666667,0.16666666666666666,0.6666666666666666,29.0,pd_d192_k3_eval:returned:final,0.0,0.0,0.0,0.0,0.0,0.0
