horizon,goal_offset,seed,variant,baseline,variant_success_rate,baseline_success_rate,delta_success_pp,delta_ci_low_pp,delta_ci_high_pp,wins,losses,ties,mcnemar_exact_p,changed_episode_indices
5,40,7,k3_multistart_equalcompute3x100,baseline_k3,62.0,68.0,-6.0,-20.0,8.0,5,8,37,0.5810546875,"0,3,8,12,19,23,26,39,43,46,47,48,49"
5,40,7,k3_s100,baseline_k3,68.0,68.0,0.0,-12.0,12.0,5,5,40,1.0,"3,10,19,23,26,31,39,40,43,49"
5,40,7,k3_s900,baseline_k3,60.0,68.0,-8.0,-20.0,4.0,3,7,40,0.34375,"0,6,7,8,12,14,18,24,42,47"
5,40,7,portfolio_equalcompute3x100,baseline_k3,74.0,68.0,6.0,-8.0,20.0,8,5,37,0.5810546875,"3,8,9,10,17,18,23,26,31,39,47,48,49"
5,40,7,shared_rankensemble3x100,baseline_k3,14.0,68.0,-54.0,-68.0,-38.0,1,28,21,1.1175870895385742e-07,"0,1,2,3,6,7,9,12,14,19,20,21,22,23,24,27,28,29,32,34,35,39,40,41,42,43,45,46,48"
5,25,42,k3_s900,baseline_k3,90.0,86.0,4.0,0.0,10.0,2,0,48,0.5,"2,47"
5,25,42,portfolio_rank3x7,baseline_k3,94.0,86.0,8.0,0.0,18.0,5,1,44,0.21875,"2,14,21,38,47,48"
5,40,42,baseline_k10,baseline_k3,52.0,62.0,-10.0,-24.0,4.0,5,10,35,0.3017578125,"0,2,3,4,5,8,9,10,11,16,20,26,30,38,49"
5,40,42,baseline_k5,baseline_k3,56.0,62.0,-6.0,-18.0,6.0,4,7,39,0.548828125,"2,5,10,11,21,26,32,34,38,43,44"
5,40,42,k3_multistart3x7,baseline_k3,70.0,62.0,8.0,2.0,16.0,4,0,46,0.125,"0,2,32,43"
5,40,42,k3_multistart_equalcompute3x100,baseline_k3,66.0,62.0,4.0,-6.0,16.0,5,3,42,0.7265625,"2,19,20,30,32,39,43,49"
5,40,42,k3_s100,baseline_k3,58.0,62.0,-4.0,-14.0,6.0,2,4,44,0.6875,"16,19,20,26,43,49"
5,40,42,k3_s900,baseline_k3,72.0,62.0,10.0,2.0,20.0,5,0,45,0.0625,"0,2,17,30,43"
5,40,42,k3_to_k10_finalpop,baseline_k3,58.0,62.0,-4.0,-10.0,0.0,0,2,48,0.5,"11,49"
5,40,42,k3_to_k10_means,baseline_k3,58.0,62.0,-4.0,-10.0,0.0,0,2,48,0.5,"11,45"
5,40,42,k3_to_k10_refit10,baseline_k3,58.0,62.0,-4.0,-10.0,0.0,0,2,48,0.5,"39,49"
5,40,42,k3_to_k10_refit30,baseline_k3,60.0,62.0,-2.0,-6.0,0.0,0,1,49,1.0,49
5,40,42,k3_to_k10_refit5,baseline_k3,60.0,62.0,-2.0,-6.0,0.0,0,1,49,1.0,49
5,40,42,k3_to_k3_finalpop,baseline_k3,60.0,62.0,-2.0,-6.0,0.0,0,1,49,1.0,14
5,40,42,k3_to_k3_means,baseline_k3,62.0,62.0,0.0,0.0,0.0,0,0,50,1.0,
5,40,42,k3_to_k3_refit30,baseline_k3,62.0,62.0,0.0,0.0,0.0,0,0,50,1.0,
5,40,42,k3_to_k5_finalpop,baseline_k3,56.0,62.0,-6.0,-14.0,0.0,0,3,47,0.25,"11,39,45"
