horizon,goal_offset,variant,baseline,n_seeds,seeds,n_episodes,variant_success_rate,baseline_success_rate,delta_success_pp,delta_ci_low_pp,delta_ci_high_pp,min_seed_delta_pp,max_seed_delta_pp,wins,losses,ties,mcnemar_exact_p
5,40,baseline_k10,k3_multistart_equalcompute3x100,1,42,50,52.0,66.0,-14.0,-28.0,0.0,-14.0,-14.0,4,11,35,0.11846923828125
5,40,baseline_k3,k3_multistart_equalcompute3x100,3,"7,42,123",150,62.666666666666664,62.666666666666664,0.0,-7.333333333333333,7.333333333333333,-4.0,6.0,15,15,120,1.0
5,40,baseline_k5,k3_multistart_equalcompute3x100,1,42,50,56.0,66.0,-10.0,-24.0,4.0,-10.0,-10.0,4,9,37,0.266845703125
5,40,k3_multistart3x7,k3_multistart_equalcompute3x100,1,42,50,70.0,66.0,4.0,-6.0,14.0,4.0,4.0,4,2,44,0.6875
5,40,k3_s100,k3_multistart_equalcompute3x100,3,"7,42,123",150,59.333333333333336,62.666666666666664,-3.3333333333333335,-10.0,3.3333333333333335,-8.0,6.0,10,15,125,0.42435622215270996
5,40,k3_s900,k3_multistart_equalcompute3x100,3,"7,42,123",150,66.0,62.666666666666664,3.3333333333333335,-4.0,10.666666666666666,-2.0,6.0,18,13,119,0.47312965989112854
5,40,k3_to_k10_finalpop,k3_multistart_equalcompute3x100,1,42,50,58.0,66.0,-8.0,-20.0,2.0,-8.0,-8.0,2,6,42,0.2890625
5,40,k3_to_k10_means,k3_multistart_equalcompute3x100,1,42,50,58.0,66.0,-8.0,-20.0,4.0,-8.0,-8.0,3,7,40,0.34375
5,40,k3_to_k10_refit10,k3_multistart_equalcompute3x100,1,42,50,58.0,66.0,-8.0,-18.0,0.0,-8.0,-8.0,1,5,44,0.21875
5,40,k3_to_k10_refit30,k3_multistart_equalcompute3x100,1,42,50,60.0,66.0,-6.0,-16.0,4.0,-6.0,-6.0,2,5,43,0.453125
5,40,k3_to_k10_refit5,k3_multistart_equalcompute3x100,1,42,50,60.0,66.0,-6.0,-16.0,4.0,-6.0,-6.0,2,5,43,0.453125
5,40,k3_to_k3_finalpop,k3_multistart_equalcompute3x100,1,42,50,60.0,66.0,-6.0,-18.0,6.0,-6.0,-6.0,3,6,41,0.5078125
5,40,k3_to_k3_means,k3_multistart_equalcompute3x100,1,42,50,62.0,66.0,-4.0,-16.0,6.0,-4.0,-4.0,3,5,42,0.7265625
5,40,k3_to_k3_refit30,k3_multistart_equalcompute3x100,1,42,50,62.0,66.0,-4.0,-16.0,6.0,-4.0,-4.0,3,5,42,0.7265625
5,40,k3_to_k5_finalpop,k3_multistart_equalcompute3x100,1,42,50,56.0,66.0,-10.0,-22.0,2.0,-10.0,-10.0,2,7,41,0.1796875
5,40,k3_to_k5_means,k3_multistart_equalcompute3x100,1,42,50,60.0,66.0,-6.0,-18.0,6.0,-6.0,-6.0,3,6,41,0.5078125
5,40,k3_to_k5_refit30,k3_multistart_equalcompute3x100,1,42,50,56.0,66.0,-10.0,-20.0,0.0,-10.0,-10.0,1,6,43,0.125
5,40,portfolio_equalcompute3x100,k3_multistart_equalcompute3x100,3,"7,42,123",150,66.0,62.666666666666664,3.3333333333333335,-3.3333333333333335,10.0,-2.0,12.0,15,10,125,0.42435622215270996
5,40,portfolio_rank3x1,k3_multistart_equalcompute3x100,1,42,50,66.0,66.0,0.0,-10.0,10.0,0.0,0.0,3,3,44,1.0
5,40,portfolio_rank3x7,k3_multistart_equalcompute3x100,1,42,50,72.0,66.0,6.0,-2.0,14.0,6.0,6.0,4,1,45,0.375
5,40,shared_rankensemble3x100,k3_multistart_equalcompute3x100,3,"7,42,123",150,8.0,62.666666666666664,-54.666666666666664,-62.666666666666664,-46.666666666666664,-60.0,-48.0,0,82,68,4.1359030627651384e-25
