horizon,goal_offset,seed,variant,baseline,variant_success_rate,baseline_success_rate,delta_success_pp,delta_ci_low_pp,delta_ci_high_pp,wins,losses,ties,mcnemar_exact_p,changed_episode_indices
5,40,7,baseline_k3,k3_multistart_equalcompute3x100,68.0,62.0,6.0,-8.0,20.0,8,5,37,0.5810546875,"0,3,8,12,19,23,26,39,43,46,47,48,49"
5,40,7,k3_s100,k3_multistart_equalcompute3x100,68.0,62.0,6.0,-6.0,18.0,6,3,41,0.5078125,"0,8,10,12,31,40,46,47,48"
5,40,7,k3_s900,k3_multistart_equalcompute3x100,60.0,62.0,-2.0,-18.0,14.0,7,8,35,1.0,"3,6,7,14,18,19,23,24,26,39,42,43,46,48,49"
5,40,7,portfolio_equalcompute3x100,k3_multistart_equalcompute3x100,74.0,62.0,12.0,0.0,24.0,8,2,40,0.109375,"0,9,10,12,17,18,19,31,43,46"
5,40,7,shared_rankensemble3x100,k3_multistart_equalcompute3x100,14.0,62.0,-48.0,-62.0,-34.0,0,24,26,1.1920928955078125e-07,"1,2,6,7,8,9,14,20,21,22,24,26,27,28,29,32,34,35,40,41,42,45,47,49"
5,40,42,baseline_k10,k3_multistart_equalcompute3x100,52.0,66.0,-14.0,-28.0,0.0,4,11,35,0.11846923828125,"0,3,4,5,8,9,10,11,16,19,26,32,38,39,43"
5,40,42,baseline_k3,k3_multistart_equalcompute3x100,62.0,66.0,-4.0,-14.0,6.0,3,5,42,0.7265625,"2,19,20,30,32,39,43,49"
5,40,42,baseline_k5,k3_multistart_equalcompute3x100,56.0,66.0,-10.0,-24.0,4.0,4,9,37,0.266845703125,"5,10,11,19,20,21,26,30,34,38,39,44,49"
5,40,42,k3_multistart3x7,k3_multistart_equalcompute3x100,70.0,66.0,4.0,-6.0,14.0,4,2,44,0.6875,"0,19,20,30,39,49"
5,40,42,k3_s100,k3_multistart_equalcompute3x100,58.0,66.0,-8.0,-18.0,0.0,1,5,44,0.21875,"2,16,26,30,32,39"
5,40,42,k3_s900,k3_multistart_equalcompute3x100,72.0,66.0,6.0,-4.0,16.0,5,2,43,0.453125,"0,17,19,20,32,39,49"
5,40,42,k3_to_k10_finalpop,k3_multistart_equalcompute3x100,58.0,66.0,-8.0,-20.0,2.0,2,6,42,0.2890625,"2,11,19,20,30,32,39,43"
5,40,42,k3_to_k10_means,k3_multistart_equalcompute3x100,58.0,66.0,-8.0,-20.0,4.0,3,7,40,0.34375,"2,11,19,20,30,32,39,43,45,49"
5,40,42,k3_to_k10_refit10,k3_multistart_equalcompute3x100,58.0,66.0,-8.0,-18.0,0.0,1,5,44,0.21875,"2,19,20,30,32,43"
5,40,42,k3_to_k10_refit30,k3_multistart_equalcompute3x100,60.0,66.0,-6.0,-16.0,4.0,2,5,43,0.453125,"2,19,20,30,32,39,43"
5,40,42,k3_to_k10_refit5,k3_multistart_equalcompute3x100,60.0,66.0,-6.0,-16.0,4.0,2,5,43,0.453125,"2,19,20,30,32,39,43"
5,40,42,k3_to_k3_finalpop,k3_multistart_equalcompute3x100,60.0,66.0,-6.0,-18.0,6.0,3,6,41,0.5078125,"2,14,19,20,30,32,39,43,49"
5,40,42,k3_to_k3_means,k3_multistart_equalcompute3x100,62.0,66.0,-4.0,-16.0,6.0,3,5,42,0.7265625,"2,19,20,30,32,39,43,49"
5,40,42,k3_to_k3_refit30,k3_multistart_equalcompute3x100,62.0,66.0,-4.0,-16.0,6.0,3,5,42,0.7265625,"2,19,20,30,32,39,43,49"
5,40,42,k3_to_k5_finalpop,k3_multistart_equalcompute3x100,56.0,66.0,-10.0,-22.0,2.0,2,7,41,0.1796875,"2,11,19,20,30,32,43,45,49"
5,40,42,k3_to_k5_means,k3_multistart_equalcompute3x100,60.0,66.0,-6.0,-18.0,6.0,3,6,41,0.5078125,"2,19,20,30,32,39,43,45,49"
5,40,42,k3_to_k5_refit30,k3_multistart_equalcompute3x100,56.0,66.0,-10.0,-20.0,0.0,1,6,43,0.125,"2,19,20,30,32,43,45"
5,40,42,portfolio_equalcompute3x100,k3_multistart_equalcompute3x100,66.0,66.0,0.0,-8.0,8.0,2,2,46,1.0,"0,26,30,38"
5,40,42,portfolio_rank3x1,k3_multistart_equalcompute3x100,66.0,66.0,0.0,-10.0,10.0,3,3,44,1.0,"9,11,16,19,20,39"
5,40,42,portfolio_rank3x7,k3_multistart_equalcompute3x100,72.0,66.0,6.0,-2.0,14.0,4,1,45,0.375,"9,19,20,39,49"
5,40,42,shared_rankensemble3x100,k3_multistart_equalcompute3x100,6.0,66.0,-60.0,-74.0,-46.0,0,30,20,1.862645149230957e-09,"2,3,4,5,6,7,8,10,11,13,14,15,16,19,21,22,23,24,26,28,30,32,33,34,36,37,43,44,45,46"
5,40,123,baseline_k3,k3_multistart_equalcompute3x100,58.0,60.0,-2.0,-14.0,10.0,4,5,41,1.0,"1,2,9,10,11,12,31,34,45"
5,40,123,k3_s100,k3_multistart_equalcompute3x100,52.0,60.0,-8.0,-20.0,4.0,3,7,40,0.34375,"2,9,12,17,20,23,27,31,40,45"
5,40,123,k3_s900,k3_multistart_equalcompute3x100,66.0,60.0,6.0,-6.0,18.0,6,3,41,0.5078125,"2,9,10,11,17,30,31,45,47"
5,40,123,portfolio_equalcompute3x100,k3_multistart_equalcompute3x100,58.0,60.0,-2.0,-16.0,10.0,5,6,39,1.0,"0,2,9,10,14,16,17,18,31,40,45"
5,40,123,shared_rankensemble3x100,k3_multistart_equalcompute3x100,4.0,60.0,-56.0,-70.0,-42.0,0,28,22,7.450580596923828e-09,"2,5,6,8,10,12,13,16,18,19,20,21,22,23,26,27,28,29,33,34,38,39,40,41,42,44,48,49"
