variant,seed,horizon,goal_offset,num_samples,n_episodes,n_success,success_rate,evaluation_time_seconds,num_plans,mean_selected_step,source,step_counts,success_bits
baseline_k10,42,5,40,300,50,26,52.0,29.16116714477539,,,cemcv_baseline_k10_h5_off40_5090.txt,,10100011010011110000011111001010011011110000111100
baseline_k3,42,5,40,300,50,31,62.0,74.43312644958496,,,cemcv_baseline_k3_h5_off40_5090.txt,,00011111101111111000111111101000011011010000111101
baseline_k3,123,5,40,300,50,29,58.0,28.10878610610962,,,cemcv_baseline_k3_h5_off40_seed123_5090.txt,,01000110110101001011111100111101110000111110100011
baseline_k3,7,5,40,300,50,34,68.0,26.882225513458252,,,cemcv_baseline_k3_h5_off40_seed7_5090.txt,,11111011010111100000111111011110101100111111011010
baseline_k5,42,5,40,300,50,28,56.0,29.819577932357788,,,cemcv_baseline_k5_h5_off40_5090.txt,,00111011100011111000101111001000110011110001011101
k3_multistart3x7,42,5,40,300,50,35,70.0,129.14966416358948,70,,cemcv_k3_multistart3x7_h5_off40_5090.txt,"{""29"": 70}",10111111101111111000111111101000111011010001111101
k3_multistart_equalcompute3x100,42,5,40,100,50,33,66.0,200.6564474105835,71,,cemcv_k3_multistart_equalcompute3x100_h5_off40_5090.txt,"{""29"": 71}",00111111101111111001011111101010111011000001111100
k3_multistart_equalcompute3x100,123,5,40,100,50,30,60.0,49.978782653808594,76,,cemcv_k3_multistart_equalcompute3x100_h5_off40_seed123_5090.txt,"{""29"": 76}",00100110101011001011111100111100111000111110110011
k3_multistart_equalcompute3x100,7,5,40,100,50,31,62.0,52.26221036911011,79,,cemcv_k3_multistart_equalcompute3x100_h5_off40_seed7_5090.txt,"{""29"": 79}",01101011110101100001111011111110101100101110010101
k3_s100,123,5,40,100,50,26,52.0,20.476282119750977,,,cemcv_k3_s100_h5_off40_seed123_5090.txt,,00000110111001001111011000101101111000110110100011
k3_s100,42,5,40,100,50,29,58.0,20.142958641052246,,,cemcv_k3_s100_h5_off40_seed42_5090.txt,,00011111101111110001011111001000011011010001111100
k3_s100,7,5,40,100,50,34,68.0,19.451625108718872,,,cemcv_k3_s100_h5_off40_seed7_5090.txt,,11101011011111100001111011111111101100100110011011
k3_s900,42,5,40,900,50,36,72.0,250.93211555480957,,,cemcv_k3_s900_h5_off40_5090.txt,,10111111101111111100111111101010011011010001111101
