horizon,goal_offset,variant,baseline,n_seeds,seeds,n_episodes,variant_success_rate,baseline_success_rate,delta_success_pp,delta_ci_low_pp,delta_ci_high_pp,min_seed_delta_pp,max_seed_delta_pp,wins,losses,ties,mcnemar_exact_p
5,40,baseline_k10,k3_s100,1,42,50,52.0,58.0,-6.0,-20.0,8.0,-6.0,-6.0,5,8,37,0.5810546875
5,40,baseline_k3,k3_s100,3,"7,42,123",150,62.666666666666664,59.333333333333336,3.3333333333333335,-3.3333333333333335,10.0,0.0,6.0,15,10,125,0.42435622215270996
5,40,baseline_k5,k3_s100,1,42,50,56.0,58.0,-2.0,-16.0,12.0,-2.0,-2.0,6,7,37,1.0
5,40,k3_multistart3x7,k3_s100,1,42,50,70.0,58.0,12.0,2.0,22.0,12.0,12.0,7,1,42,0.0703125
5,40,k3_multistart_equalcompute3x100,k3_s100,3,"7,42,123",150,62.666666666666664,59.333333333333336,3.3333333333333335,-3.3333333333333335,10.0,-6.0,8.0,15,10,125,0.42435622215270996
5,40,k3_s900,k3_s100,3,"7,42,123",150,66.0,59.333333333333336,6.666666666666667,-1.3333333333333333,14.666666666666666,-8.0,14.0,24,14,112,0.14330665429588407
5,40,k3_to_k10_finalpop,k3_s100,1,42,50,58.0,58.0,0.0,-10.0,10.0,0.0,0.0,3,3,44,1.0
5,40,k3_to_k10_means,k3_s100,1,42,50,58.0,58.0,0.0,-12.0,10.0,0.0,0.0,4,4,42,1.0
5,40,k3_to_k10_refit10,k3_s100,1,42,50,58.0,58.0,0.0,-10.0,10.0,0.0,0.0,3,3,44,1.0
5,40,k3_to_k10_refit30,k3_s100,1,42,50,60.0,58.0,2.0,-6.0,10.0,2.0,2.0,3,2,45,1.0
5,40,k3_to_k10_refit5,k3_s100,1,42,50,60.0,58.0,2.0,-6.0,10.0,2.0,2.0,3,2,45,1.0
5,40,k3_to_k3_finalpop,k3_s100,1,42,50,60.0,58.0,2.0,-8.0,12.0,2.0,2.0,4,3,43,1.0
5,40,k3_to_k3_means,k3_s100,1,42,50,62.0,58.0,4.0,-6.0,14.0,4.0,4.0,4,2,44,0.6875
5,40,k3_to_k3_refit30,k3_s100,1,42,50,62.0,58.0,4.0,-6.0,14.0,4.0,4.0,4,2,44,0.6875
5,40,k3_to_k5_finalpop,k3_s100,1,42,50,56.0,58.0,-2.0,-14.0,10.0,-2.0,-2.0,4,5,41,1.0
5,40,k3_to_k5_means,k3_s100,1,42,50,60.0,58.0,2.0,-8.0,12.0,2.0,2.0,4,3,43,1.0
5,40,k3_to_k5_refit30,k3_s100,1,42,50,56.0,58.0,-2.0,-12.0,8.0,-2.0,-2.0,3,4,43,1.0
5,40,portfolio_equalcompute3x100,k3_s100,3,"7,42,123",150,66.0,59.333333333333336,6.666666666666667,0.6666666666666666,13.333333333333334,6.0,8.0,17,7,126,0.06391465663909912
5,40,portfolio_rank3x1,k3_s100,1,42,50,66.0,58.0,8.0,-2.0,20.0,8.0,8.0,6,2,42,0.2890625
5,40,portfolio_rank3x7,k3_s100,1,42,50,72.0,58.0,14.0,4.0,26.0,14.0,14.0,8,1,41,0.0390625
5,40,shared_rankensemble3x100,k3_s100,3,"7,42,123",150,8.0,59.333333333333336,-51.333333333333336,-59.333333333333336,-43.333333333333336,-54.0,-48.0,1,78,71,2.6469779601696886e-22
