horizon,goal_offset,seed,variant,baseline,variant_success_rate,baseline_success_rate,delta_success_pp,delta_ci_low_pp,delta_ci_high_pp,wins,losses,ties,mcnemar_exact_p,changed_episode_indices
5,40,7,baseline_k3,k3_s100,68.0,68.0,0.0,-12.0,12.0,5,5,40,1.0,"3,10,19,23,26,31,39,40,43,49"
5,40,7,k3_multistart_equalcompute3x100,k3_s100,62.0,68.0,-6.0,-18.0,6.0,3,6,41,0.5078125,"0,8,10,12,31,40,46,47,48"
5,40,7,k3_s900,k3_s100,60.0,68.0,-8.0,-26.0,10.0,8,12,30,0.5034446716308594,"0,3,6,7,8,10,12,14,18,19,23,24,26,31,39,40,42,43,47,49"
5,40,7,portfolio_equalcompute3x100,k3_s100,74.0,68.0,6.0,-6.0,18.0,6,3,41,0.5078125,"8,9,17,18,19,40,43,47,48"
5,40,7,shared_rankensemble3x100,k3_s100,14.0,68.0,-54.0,-68.0,-40.0,0,27,23,1.4901161193847656e-08,"0,1,2,6,7,9,10,12,14,20,21,22,24,26,27,28,29,31,32,34,35,41,42,45,46,48,49"
5,40,42,baseline_k10,k3_s100,52.0,58.0,-6.0,-20.0,8.0,5,8,37,0.5810546875,"0,2,3,4,5,8,9,10,11,19,30,38,43"
5,40,42,baseline_k3,k3_s100,62.0,58.0,4.0,-6.0,14.0,4,2,44,0.6875,"16,19,20,26,43,49"
5,40,42,baseline_k5,k3_s100,56.0,58.0,-2.0,-16.0,12.0,6,7,37,1.0,"2,5,10,11,16,19,20,21,32,34,38,44,49"
5,40,42,k3_multistart3x7,k3_s100,70.0,58.0,12.0,2.0,24.0,7,1,42,0.0703125,"0,2,16,19,20,26,32,49"
5,40,42,k3_multistart_equalcompute3x100,k3_s100,66.0,58.0,8.0,0.0,18.0,5,1,44,0.21875,"2,16,26,30,32,39"
5,40,42,k3_s900,k3_s100,72.0,58.0,14.0,4.0,26.0,8,1,41,0.0390625,"0,2,16,17,19,20,26,30,49"
5,40,42,k3_to_k10_finalpop,k3_s100,58.0,58.0,0.0,-10.0,10.0,3,3,44,1.0,"11,16,19,20,26,43"
5,40,42,k3_to_k10_means,k3_s100,58.0,58.0,0.0,-10.049999999999955,10.0,4,4,42,1.0,"11,16,19,20,26,43,45,49"
5,40,42,k3_to_k10_refit10,k3_s100,58.0,58.0,0.0,-10.0,10.0,3,3,44,1.0,"16,19,20,26,39,43"
5,40,42,k3_to_k10_refit30,k3_s100,60.0,58.0,2.0,-6.0,12.0,3,2,45,1.0,"16,19,20,26,43"
5,40,42,k3_to_k10_refit5,k3_s100,60.0,58.0,2.0,-6.0,10.0,3,2,45,1.0,"16,19,20,26,43"
5,40,42,k3_to_k3_finalpop,k3_s100,60.0,58.0,2.0,-8.0,12.0,4,3,43,1.0,"14,16,19,20,26,43,49"
5,40,42,k3_to_k3_means,k3_s100,62.0,58.0,4.0,-6.0,14.0,4,2,44,0.6875,"16,19,20,26,43,49"
5,40,42,k3_to_k3_refit30,k3_s100,62.0,58.0,4.0,-6.0,14.0,4,2,44,0.6875,"16,19,20,26,43,49"
5,40,42,k3_to_k5_finalpop,k3_s100,56.0,58.0,-2.0,-14.0,10.0,4,5,41,1.0,"11,16,19,20,26,39,43,45,49"
5,40,42,k3_to_k5_means,k3_s100,60.0,58.0,2.0,-8.0,12.0,4,3,43,1.0,"16,19,20,26,43,45,49"
5,40,42,k3_to_k5_refit30,k3_s100,56.0,58.0,-2.0,-12.0,8.0,3,4,43,1.0,"16,19,20,26,39,43,45"
5,40,42,portfolio_equalcompute3x100,k3_s100,66.0,58.0,8.0,0.0,18.0,5,1,44,0.21875,"0,2,16,32,38,39"
5,40,42,portfolio_rank3x1,k3_s100,66.0,58.0,8.0,-2.0,20.0,6,2,42,0.2890625,"2,9,11,19,20,26,30,32"
5,40,42,portfolio_rank3x7,k3_s100,72.0,58.0,14.0,4.0,26.0,8,1,41,0.0390625,"2,9,16,19,20,26,30,32,49"
5,40,42,shared_rankensemble3x100,k3_s100,6.0,58.0,-52.0,-66.0,-38.0,0,26,24,2.9802322387695312e-08,"3,4,5,6,7,8,10,11,13,14,15,19,21,22,23,24,28,33,34,36,37,39,43,44,45,46"
5,40,123,baseline_k3,k3_s100,58.0,52.0,6.0,-6.0,18.0,6,3,41,0.5078125,"1,10,11,17,20,23,27,34,40"
5,40,123,k3_multistart_equalcompute3x100,k3_s100,60.0,52.0,8.0,-4.0,20.0,7,3,40,0.34375,"2,9,12,17,20,23,27,31,40,45"
5,40,123,k3_s900,k3_s100,66.0,52.0,14.0,4.0,26.0,8,1,41,0.0390625,"10,11,12,20,23,27,30,40,47"
5,40,123,portfolio_equalcompute3x100,k3_s100,58.0,52.0,6.0,-6.0,18.0,6,3,41,0.5078125,"0,10,12,14,16,18,20,23,27"
5,40,123,shared_rankensemble3x100,k3_s100,4.0,52.0,-48.0,-62.0,-34.0,1,25,24,8.046627044677734e-07,"5,6,8,9,10,13,16,17,18,19,21,22,26,28,29,31,33,34,38,39,41,42,44,45,48,49"
