epoch,n_folds,n_heldout_states,base_score_mae,base_score_normalized_mae,base_topk_overlap,elite_overlap,relative_update_error,selected_elite_true_cost,update_cosine,base_score_mae_delta_vs_epoch0,base_score_normalized_mae_delta_vs_epoch0,base_topk_overlap_delta_vs_epoch0,elite_overlap_delta_vs_epoch0,relative_update_error_delta_vs_epoch0,selected_elite_true_cost_delta_vs_epoch0,update_cosine_delta_vs_epoch0,base_score_mae_delta_ci_low,base_score_mae_delta_ci_high,base_score_normalized_mae_delta_ci_low,base_score_normalized_mae_delta_ci_high,base_topk_overlap_delta_ci_low,base_topk_overlap_delta_ci_high,elite_overlap_delta_ci_low,elite_overlap_delta_ci_high,relative_update_error_delta_ci_low,relative_update_error_delta_ci_high,selected_elite_true_cost_delta_ci_low,selected_elite_true_cost_delta_ci_high,update_cosine_delta_ci_low,update_cosine_delta_ci_high
0,3,60,0.0012599736432700108,6.489586759101693e-05,0.9998611111111111,0.17152777777777778,1.1516213961546675,102.64599513369447,0.17165679314080104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,3,60,8.23647914280494,0.2738433802037172,0.7198611111111111,0.18736111111111112,1.139167924335964,101.63453970723731,0.20836681242539,8.23521916916167,0.27377848433612617,-0.28,0.015833333333333338,-0.012453471818703488,-1.011455426457161,0.036710019284588974,7.0225918011076764,9.481391726012129,0.24257021125140696,0.3064977500771057,-0.30902777777777773,-0.2513888888888889,0.005555555555555549,0.026805555555555558,-0.032720088135813785,0.00775961560922597,-1.790876282652986,-0.30090045233216245,0.010202766370959758,0.06318608734669473
2,3,60,12.847808243830999,0.3438043797752181,0.6508333333333333,0.19500000000000003,1.1367552208656768,101.37650257933447,0.22205206911867015,12.846548270187728,0.3437394839076271,-0.3490277777777778,0.023472222222222255,-0.014866175288990702,-1.2694925543599993,0.05039527597786911,10.920020077404285,14.812706121849573,0.30386158313256284,0.38451673679784604,-0.3884722222222223,-0.31125,0.009722222222222215,0.03777777777777777,-0.04113787298078967,0.01119701221157596,-2.349442176323032,-0.2807583801297002,0.01744867437825172,0.08400016274765558
3,3,60,16.91761250073711,0.4091368846844588,0.58125,0.19749999999999998,1.1469458311450604,100.86398149006192,0.22955090302467018,16.916352527093842,0.4090719888168678,-0.41861111111111104,0.025972222222222202,-0.0046755650096070855,-1.7820136436325527,0.057894109883869144,14.317982745717066,19.595483868486042,0.362447051222197,0.4567409964761264,-0.4633333333333333,-0.37513888888888897,0.009999999999999997,0.042777777777777776,-0.035665563005245836,0.02654635349103631,-3.108436249250186,-0.5642456483876982,0.019299256776050027,0.09734986687446164
4,3,60,20.582931113739807,0.4663002945339006,0.5226388888888889,0.20152777777777775,1.1464063660920611,100.65815638763657,0.2437490723666713,20.58167114009654,0.4662353986663096,-0.4772222222222222,0.02999999999999997,-0.005215030062606374,-1.9878387460579034,0.07209227922587025,17.454734830574548,23.826324645110773,0.4156159028573174,0.5177535068375005,-0.5240277777777778,-0.4313888888888889,0.010833333333333337,0.04972222222222222,-0.04092137315193006,0.030271950100284075,-3.536273168750254,-0.5463755191423311,0.029425340921343992,0.11538841205135679
5,3,60,23.842304422458014,0.5151973219998741,0.4786111111111111,0.2073611111111111,1.1568486817101635,100.60598421644684,0.24777694636093736,23.841044448814745,0.515132426132283,-0.52125,0.03583333333333333,0.0052272855554960085,-2.0400109172476277,0.07612015322013632,20.241133292023154,27.579123632945215,0.4621146513612914,0.5684603419531913,-0.57,-0.4729131944444447,0.013194444444444446,0.05958333333333333,-0.034331929768666204,0.04444693148152985,-3.7780768027840836,-0.4313122455673727,0.02970165867775966,0.12325112920565232
6,3,60,26.526713212331135,0.5519535367763517,0.4411111111111111,0.20486111111111113,1.1698361970982805,100.84157645091804,0.24221030325834506,26.525453238687867,0.5518886409087607,-0.55875,0.033333333333333354,0.01821480094361294,-1.8044186827764293,0.07055351011754402,22.55960734806295,30.64703027030215,0.4970987783403671,0.6075906145019554,-0.6072222222222223,-0.5102743055555559,0.00930555555555556,0.058472222222222224,-0.025568896009913574,0.061142072396361595,-3.6200003070252134,-0.09867439611173381,0.021046702294146732,0.12119537512372537
7,3,60,28.950872262070575,0.5897016709604009,0.4094444444444445,0.20458333333333334,1.1816834860432002,100.9395606747059,0.23992841077167076,28.949612288427307,0.5896367750928099,-0.5904166666666666,0.03305555555555556,0.03006208988853265,-1.7064344589885678,0.06827161763086972,24.655308641723046,33.40421862343946,0.5337761845439828,0.6453725824078315,-0.64,-0.5399999999999999,0.006805555555555557,0.06083333333333331,-0.017880534695428517,0.07647524666387999,-3.631585156096362,0.12341106445298655,0.015421828461810711,0.12257915048189737
8,3,60,31.284659383942685,0.6300035467383791,0.37847222222222227,0.2016666666666667,1.1917181122172598,101.07911908945407,0.23662078414943336,31.283399410299417,0.629938650870788,-0.6213888888888888,0.03013888888888891,0.04009671606259224,-1.5668760442404022,0.06496399100863232,26.615163949063767,36.073315827444986,0.5733547941950702,0.6861812557778844,-0.6698611111111111,-0.5716666666666669,0.0029166666666666655,0.05861458333333304,-0.010431990107311946,0.08934779237890034,-3.6006093498245106,0.3956906929698154,0.00946461931815118,0.12238582085794751
9,3,60,33.13107088729739,0.6528058316835406,0.3608333333333333,0.20069444444444445,1.2010134349313475,101.26901148753669,0.2346712151679928,33.12981091365412,0.6527409358159495,-0.6390277777777778,0.029166666666666674,0.04939203877667997,-1.3769836461577825,0.06301442202719176,28.270156641041346,38.097311549747396,0.5946436585383114,0.7100314842447799,-0.6875,-0.5890277777777778,0.00027777777777777767,0.05916666666666667,-0.0030372131890020757,0.10066469082205479,-3.513120148417177,0.6630819419798837,0.005932510494481413,0.12258904377078046
10,3,60,35.039599353075026,0.6763947411235324,0.33722222222222226,0.20319444444444443,1.2066019568497168,101.28357505596962,0.23729665417513685,35.038339379431754,0.6763298452559413,-0.6626388888888888,0.03166666666666665,0.05498056069504931,-1.362420077724849,0.0656398610343358,29.941555545161876,40.28675317683567,0.6203750311204558,0.73210768779751,-0.7094479166666667,-0.6147222222222222,0.0008333333333333332,0.0636111111111111,0.00020938365923971495,0.10846892502312044,-3.539778381510824,0.7260024267463276,0.0075357741673506414,0.12636820994740927
