alpha,branch_round,coverage,min_true,mean_true,mean_success
0.0,1,0.25,79.01892800496145,119.37546151473782,0.16666666666666666
0.0,2,0.25,74.75246729508018,118.97393636317979,0.16666666666666666
0.0,3,0.25,83.06108308959567,120.49460329647933,0.16666666666666666
0.0,4,0.25,91.25345527129222,120.02687684661817,0.16666666666666666
0.0,5,0.25,90.34232257790565,119.05104803731696,0.16666666666666666
0.25,1,0.25,79.01892800496145,119.37546151473782,0.16666666666666666
0.25,2,0.25,76.90690608566443,115.3814704816224,0.16666666666666666
0.25,3,0.25,79.12611210910521,112.97370253510032,0.16666666666666666
0.25,4,0.25,82.83893141603947,110.53818338108249,0.25
0.25,5,0.25,83.15740262733125,111.34343355119735,0.25
0.5,1,0.25,79.01892800496145,119.37546151473782,0.16666666666666666
0.5,2,0.25,75.85618609559269,110.62368281338273,0.16666666666666666
0.5,3,0.25,66.80481916066903,103.74100564534349,0.25
0.5,4,0.25,72.35727852280785,100.3498332628178,0.25
0.5,5,0.25,66.83050744439822,97.36500918072971,0.25
0.75,1,0.25,79.01892800496145,119.37546151473782,0.16666666666666666
0.75,2,0.25,71.50355082772089,105.98728325349892,0.16666666666666666
0.75,3,0.25,68.08674117807908,95.2830999012204,0.25
0.75,4,0.25,64.0481997392938,86.4461099018633,0.25
0.75,5,0.3333333333333333,62.92067623141071,80.34746448529503,0.25
1.0,1,0.25,79.01892800496145,119.37546151473782,0.16666666666666666
1.0,2,0.3333333333333333,66.99360247421475,101.12004916168189,0.16666666666666666
1.0,3,0.25,63.22154988389847,84.62676143206967,0.25
1.0,4,0.25,57.708060402675024,75.31715169649421,0.25
1.0,5,0.25,55.8870627002349,70.98187050780834,0.25
