topk,selector,mean_true_cost,success_rate
1,pd_d192_k3_eval,93.66,0.60
1,iter2_multistep_eval,94.37,0.62
1,pd_d192_k10_eval,94.32,0.58
1,rank_consensus,92.42,0.60
1,oracle_true_cost,76.79,0.70
5,pd_d192_k3_eval,92.94,0.60
5,iter2_multistep_eval,93.87,0.58
5,pd_d192_k10_eval,91.95,0.66
5,rank_consensus,92.42,0.62
5,oracle_true_cost,82.16,0.68
10,pd_d192_k3_eval,92.34,0.62
10,iter2_multistep_eval,94.01,0.60
10,pd_d192_k10_eval,92.16,0.64
10,rank_consensus,92.62,0.62
10,oracle_true_cost,83.60,0.68
30,pd_d192_k3_eval,92.03,0.58
30,iter2_multistep_eval,93.17,0.62
30,pd_d192_k10_eval,92.02,0.62
30,rank_consensus,92.69,0.62
30,oracle_true_cost,85.50,0.68
